from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
connection,icra,2006,1999,1,12
connection,icra,2006,2001,1,8
connection,icra,2006,2003,1,11
connection,icra,2006,2004,1,15
connection,icra,2007,1993,2,35
connection,icra,2007,1996,1,36
connection,icra,2007,1999,2,47
connection,icra,2007,2003,1,48
connection,icra,2007,2005,2,45
connection,icra,2008,1984,1,2
connection,icra,2008,1996,1,11
connection,icra,2008,2002,1,31
connection,icra,2008,2005,2,33
connection,icra,2008,2007,1,46
connection,icra,2010,1989,1,25
connection,icra,2010,2002,1,73
connection,icra,2010,2003,1,80
connection,icra,2010,2004,4,55
connection,icra,2011,2006,1,18
connection,icra,2013,1988,1,3
connection,icra,2014,1987,1,7
connection,icra,2014,2005,1,28
connection,icra,2014,2006,1,23
connection,icra,2014,2013,1,37
