from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
connection,ijcai,1995,1989,1,3
connection,ijcai,2002,1989,1,2
connection,ijcai,2003,1987,1,1
connection,ijcai,2005,1999,1,14
connection,ijcai,2006,1981,1,1
connection,ijcai,2006,1997,1,3
connection,ijcai,2006,2001,1,8
connection,ijcai,2006,2003,1,11
connection,ijcai,2007,1981,1,13
connection,ijcai,2007,1985,3,20
connection,ijcai,2007,1987,2,26
connection,ijcai,2007,1989,1,55
connection,ijcai,2007,1999,1,47
connection,ijcai,2007,2003,1,48
connection,ijcai,2008,1989,1,5
connection,ijcai,2008,1991,1,7
connection,ijcai,2008,1999,1,19
connection,ijcai,2008,2001,2,28
connection,ijcai,2008,2003,1,27
connection,ijcai,2008,2005,2,33
connection,ijcai,2008,2007,2,46
connection,ijcai,2009,1989,1,4
connection,ijcai,2009,1999,1,21
connection,ijcai,2009,2005,1,37
connection,ijcai,2010,1987,1,23
connection,ijcai,2010,1991,1,33
connection,ijcai,2010,1993,1,50
connection,ijcai,2010,1995,2,57
connection,ijcai,2010,1997,1,70
connection,ijcai,2010,1999,1,61
connection,ijcai,2010,2001,2,77
connection,ijcai,2011,1991,1,8
connection,ijcai,2014,2013,1,37
