from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,colt,2001,1994,1,42
cvpr,colt,2001,1998,1,154
cvpr,colt,2001,1999,1,176
cvpr,colt,2003,1992,1,67
cvpr,colt,2003,1998,2,223
cvpr,colt,2003,1999,1,210
cvpr,colt,2004,1998,2,200
cvpr,colt,2004,2003,1,432
cvpr,colt,2005,1998,2,206
cvpr,colt,2005,2001,1,311
cvpr,colt,2005,2003,1,436
cvpr,colt,2006,1998,2,226
cvpr,colt,2006,1999,1,222
cvpr,colt,2006,2003,1,511
cvpr,colt,2007,1992,2,63
cvpr,colt,2007,1996,1,116
cvpr,colt,2007,1998,1,176
cvpr,colt,2007,2001,1,276
cvpr,colt,2007,2003,2,433
cvpr,colt,2007,2004,1,476
cvpr,colt,2007,2005,1,629
cvpr,colt,2008,1991,1,54
cvpr,colt,2008,1992,1,70
cvpr,colt,2008,1995,1,114
cvpr,colt,2008,1998,3,209
cvpr,colt,2008,1999,1,207
cvpr,colt,2008,2001,2,323
cvpr,colt,2008,2003,1,519
cvpr,colt,2008,2004,1,573
cvpr,colt,2008,2006,1,832
cvpr,colt,2009,1992,1,45
cvpr,colt,2009,1998,2,134
cvpr,colt,2009,1999,1,151
cvpr,colt,2009,2003,1,313
cvpr,colt,2009,2007,1,729
cvpr,colt,2010,1992,1,26
cvpr,colt,2010,1998,2,110
cvpr,colt,2010,1999,2,100
cvpr,colt,2010,2000,1,105
cvpr,colt,2010,2001,1,149
cvpr,colt,2010,2003,1,207
cvpr,colt,2010,2004,1,265
cvpr,colt,2010,2008,1,577
cvpr,colt,2011,1992,1,23
cvpr,colt,2011,1998,1,57
cvpr,colt,2011,2001,1,89
cvpr,colt,2011,2006,1,237
cvpr,colt,2012,1992,1,22
cvpr,colt,2012,2001,1,88
cvpr,colt,2012,2003,1,150
cvpr,colt,2013,1998,2,66
cvpr,colt,2013,1999,1,83
cvpr,colt,2013,2000,1,89
cvpr,colt,2014,2003,1,126
cvpr,colt,2015,1992,1,42
cvpr,colt,2015,1998,3,73
cvpr,colt,2015,2001,1,116
cvpr,colt,2015,2003,1,180
cvpr,colt,2015,2005,1,239
cvpr,colt,2015,2006,1,266
cvpr,colt,2015,2008,1,405
