from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,cvpr,1988,1983,1,28
cvpr,cvpr,1988,1985,3,38
cvpr,cvpr,1988,1986,1,44
cvpr,cvpr,1989,1983,1,21
cvpr,cvpr,1989,1985,1,28
cvpr,cvpr,1989,1986,3,32
cvpr,cvpr,1989,1988,14,45
cvpr,cvpr,1991,1983,1,14
cvpr,cvpr,1991,1986,5,32
cvpr,cvpr,1991,1988,7,49
cvpr,cvpr,1991,1989,7,32
cvpr,cvpr,1992,1985,1,8
cvpr,cvpr,1992,1986,1,12
cvpr,cvpr,1992,1988,4,31
cvpr,cvpr,1992,1989,2,22
cvpr,cvpr,1992,1991,6,24
cvpr,cvpr,1993,1986,2,14
cvpr,cvpr,1993,1988,7,28
cvpr,cvpr,1993,1989,2,20
cvpr,cvpr,1993,1991,10,32
cvpr,cvpr,1993,1992,12,56
cvpr,cvpr,1994,1986,1,18
cvpr,cvpr,1994,1988,2,30
cvpr,cvpr,1994,1989,3,24
cvpr,cvpr,1994,1991,14,62
cvpr,cvpr,1994,1992,11,89
cvpr,cvpr,1994,1993,17,77
cvpr,cvpr,1996,1988,2,22
cvpr,cvpr,1996,1989,1,12
cvpr,cvpr,1996,1991,9,40
cvpr,cvpr,1996,1992,3,40
cvpr,cvpr,1996,1993,9,52
cvpr,cvpr,1996,1994,19,82
cvpr,cvpr,1997,1985,2,11
cvpr,cvpr,1997,1986,1,18
cvpr,cvpr,1997,1988,2,15
cvpr,cvpr,1997,1989,2,21
cvpr,cvpr,1997,1991,10,51
cvpr,cvpr,1997,1992,8,56
cvpr,cvpr,1997,1993,8,50
cvpr,cvpr,1997,1994,17,87
cvpr,cvpr,1997,1996,23,117
cvpr,cvpr,1998,1986,1,15
cvpr,cvpr,1998,1988,1,24
cvpr,cvpr,1998,1991,4,34
cvpr,cvpr,1998,1992,7,37
cvpr,cvpr,1998,1993,10,48
cvpr,cvpr,1998,1994,16,74
cvpr,cvpr,1998,1996,19,86
cvpr,cvpr,1998,1997,43,112
cvpr,cvpr,1999,1986,1,13
cvpr,cvpr,1999,1989,2,15
cvpr,cvpr,1999,1991,5,25
cvpr,cvpr,1999,1992,3,27
cvpr,cvpr,1999,1993,4,23
cvpr,cvpr,1999,1994,11,42
cvpr,cvpr,1999,1996,15,56
cvpr,cvpr,1999,1997,25,71
cvpr,cvpr,1999,1998,20,84
cvpr,cvpr,2000,1986,2,22
cvpr,cvpr,2000,1988,1,22
cvpr,cvpr,2000,1989,3,19
cvpr,cvpr,2000,1991,7,35
cvpr,cvpr,2000,1992,2,42
cvpr,cvpr,2000,1993,7,52
cvpr,cvpr,2000,1994,8,63
cvpr,cvpr,2000,1996,9,90
cvpr,cvpr,2000,1997,32,126
cvpr,cvpr,2000,1998,32,171
cvpr,cvpr,2000,1999,34,156
cvpr,cvpr,2001,1986,1,13
cvpr,cvpr,2001,1989,3,19
cvpr,cvpr,2001,1991,5,30
cvpr,cvpr,2001,1992,3,33
cvpr,cvpr,2001,1993,3,39
cvpr,cvpr,2001,1994,9,42
cvpr,cvpr,2001,1996,11,76
cvpr,cvpr,2001,1997,38,112
cvpr,cvpr,2001,1998,25,154
cvpr,cvpr,2001,1999,38,176
cvpr,cvpr,2001,2000,52,174
cvpr,cvpr,2002,1996,1,2
cvpr,cvpr,2002,1999,1,2
cvpr,cvpr,2002,2001,1,2
cvpr,cvpr,2003,1986,2,19
cvpr,cvpr,2003,1989,2,21
cvpr,cvpr,2003,1991,6,47
cvpr,cvpr,2003,1992,4,67
cvpr,cvpr,2003,1993,7,63
cvpr,cvpr,2003,1994,5,72
cvpr,cvpr,2003,1996,19,131
cvpr,cvpr,2003,1997,32,168
