from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,eccv,1991,1990,5,54
cvpr,eccv,1993,1990,3,38
cvpr,eccv,1993,1992,11,56
cvpr,eccv,1994,1990,1,50
cvpr,eccv,1994,1992,14,89
cvpr,eccv,1996,1992,5,40
cvpr,eccv,1996,1994,13,82
cvpr,eccv,1997,1990,1,36
cvpr,eccv,1997,1992,8,56
cvpr,eccv,1997,1994,11,87
cvpr,eccv,1997,1996,21,117
cvpr,eccv,1998,1990,1,26
cvpr,eccv,1998,1992,4,37
cvpr,eccv,1998,1994,10,74
cvpr,eccv,1998,1996,14,86
cvpr,eccv,1999,1992,5,27
cvpr,eccv,1999,1994,7,42
cvpr,eccv,1999,1996,10,56
cvpr,eccv,1999,1998,8,84
cvpr,eccv,2000,1990,2,26
cvpr,eccv,2000,1992,8,42
cvpr,eccv,2000,1994,9,63
cvpr,eccv,2000,1996,17,90
cvpr,eccv,2000,1998,17,171
cvpr,eccv,2001,1992,5,33
cvpr,eccv,2001,1994,1,42
cvpr,eccv,2001,1996,9,76
cvpr,eccv,2001,1998,18,154
cvpr,eccv,2001,2000,16,174
cvpr,eccv,2002,1996,1,2
cvpr,eccv,2002,2000,1,3
cvpr,eccv,2003,1990,1,39
cvpr,eccv,2003,1992,9,67
cvpr,eccv,2003,1994,6,72
cvpr,eccv,2003,1996,14,131
cvpr,eccv,2003,1998,13,223
cvpr,eccv,2003,2000,20,259
cvpr,eccv,2003,2002,73,282
cvpr,eccv,2004,1992,9,55
cvpr,eccv,2004,1994,9,81
cvpr,eccv,2004,1996,13,112
cvpr,eccv,2004,1998,19,200
cvpr,eccv,2004,2000,21,268
cvpr,eccv,2004,2002,79,291
cvpr,eccv,2005,1992,6,74
cvpr,eccv,2005,1994,7,79
cvpr,eccv,2005,1996,9,106
cvpr,eccv,2005,1998,11,206
cvpr,eccv,2005,2000,14,255
cvpr,eccv,2005,2002,49,289
cvpr,eccv,2005,2003,1,436
cvpr,eccv,2005,2004,52,480
cvpr,eccv,2006,1992,5,66
cvpr,eccv,2006,1994,8,91
cvpr,eccv,2006,1996,10,128
cvpr,eccv,2006,1998,12,226
cvpr,eccv,2006,2000,18,261
cvpr,eccv,2006,2002,56,301
cvpr,eccv,2006,2003,1,511
cvpr,eccv,2006,2004,63,591
cvpr,eccv,2007,1990,1,36
cvpr,eccv,2007,1992,8,63
cvpr,eccv,2007,1994,5,65
cvpr,eccv,2007,1996,9,116
cvpr,eccv,2007,1998,16,176
cvpr,eccv,2007,2000,6,219
cvpr,eccv,2007,2002,56,287
cvpr,eccv,2007,2003,1,433
cvpr,eccv,2007,2004,51,476
cvpr,eccv,2007,2006,70,599
cvpr,eccv,2008,1992,7,70
cvpr,eccv,2008,1994,13,85
cvpr,eccv,2008,1996,13,128
cvpr,eccv,2008,1998,14,209
cvpr,eccv,2008,2000,9,265
cvpr,eccv,2008,2002,51,342
cvpr,eccv,2008,2003,1,519
cvpr,eccv,2008,2004,50,573
cvpr,eccv,2008,2006,81,832
cvpr,eccv,2009,1992,4,45
cvpr,eccv,2009,1994,2,43
cvpr,eccv,2009,1996,6,77
cvpr,eccv,2009,1998,8,134
cvpr,eccv,2009,2000,13,171
cvpr,eccv,2009,2002,33,216
cvpr,eccv,2009,2003,1,313
cvpr,eccv,2009,2004,43,373
cvpr,eccv,2009,2006,49,571
cvpr,eccv,2009,2008,96,714
cvpr,eccv,2010,1992,1,26
cvpr,eccv,2010,1994,2,38
cvpr,eccv,2010,1996,5,56
cvpr,eccv,2010,1998,5,110
cvpr,eccv,2010,2000,8,105
cvpr,eccv,2010,2002,20,118
cvpr,eccv,2010,2003,1,207
cvpr,eccv,2010,2004,25,265
cvpr,eccv,2010,2006,39,403
cvpr,eccv,2010,2008,77,577
cvpr,eccv,2011,1992,2,23
cvpr,eccv,2011,1994,1,27
cvpr,eccv,2011,1996,1,36
cvpr,eccv,2011,1998,3,57
cvpr,eccv,2011,2000,3,61
cvpr,eccv,2011,2002,22,94
cvpr,eccv,2011,2003,1,136
cvpr,eccv,2011,2004,21,167
cvpr,eccv,2011,2006,23,237
cvpr,eccv,2011,2008,61,417
cvpr,eccv,2011,2009,1,496
cvpr,eccv,2011,2010,97,462
cvpr,eccv,2012,1992,2,22
cvpr,eccv,2012,1994,2,34
cvpr,eccv,2012,1996,4,28
cvpr,eccv,2012,1998,7,51
cvpr,eccv,2012,2000,4,63
cvpr,eccv,2012,2002,12,88
cvpr,eccv,2012,2004,16,156
cvpr,eccv,2012,2006,28,260
cvpr,eccv,2012,2008,50,354
cvpr,eccv,2012,2010,108,523
cvpr,eccv,2013,1992,3,29
cvpr,eccv,2013,1994,2,43
cvpr,eccv,2013,1996,2,43
cvpr,eccv,2013,1998,4,66
cvpr,eccv,2013,2000,3,89
cvpr,eccv,2013,2002,29,129
cvpr,eccv,2013,2003,1,217
cvpr,eccv,2013,2004,17,213
cvpr,eccv,2013,2006,29,311
cvpr,eccv,2013,2007,1,402
cvpr,eccv,2013,2008,66,477
cvpr,eccv,2013,2010,118,660
cvpr,eccv,2013,2012,164,858
cvpr,eccv,2014,1992,2,27
cvpr,eccv,2014,1994,2,20
cvpr,eccv,2014,1996,3,30
cvpr,eccv,2014,1998,2,61
cvpr,eccv,2014,2000,5,49
cvpr,eccv,2014,2002,14,82
cvpr,eccv,2014,2003,1,126
cvpr,eccv,2014,2004,17,154
cvpr,eccv,2014,2006,23,221
cvpr,eccv,2014,2008,52,321
cvpr,eccv,2014,2009,1,395
cvpr,eccv,2014,2010,96,459
cvpr,eccv,2014,2012,136,685
cvpr,eccv,2014,2013,6,624
cvpr,eccv,2015,1992,3,42
cvpr,eccv,2015,1994,2,48
cvpr,eccv,2015,1996,3,42
cvpr,eccv,2015,1998,6,73
cvpr,eccv,2015,2000,6,79
cvpr,eccv,2015,2002,20,124
cvpr,eccv,2015,2004,22,219
cvpr,eccv,2015,2006,21,266
cvpr,eccv,2015,2008,41,405
cvpr,eccv,2015,2010,107,575
cvpr,eccv,2015,2012,158,868
cvpr,eccv,2015,2013,5,992
cvpr,eccv,2015,2014,183,927
