from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,emnlp,2005,2001,1,311
cvpr,emnlp,2007,2002,1,287
cvpr,emnlp,2008,2002,1,342
cvpr,emnlp,2008,2004,1,573
cvpr,emnlp,2009,2002,1,216
cvpr,emnlp,2009,2006,1,571
cvpr,emnlp,2009,2007,1,729
cvpr,emnlp,2010,2002,1,118
cvpr,emnlp,2010,2008,2,577
cvpr,emnlp,2010,2009,1,542
cvpr,emnlp,2011,2004,1,167
cvpr,emnlp,2011,2008,1,417
cvpr,emnlp,2012,2006,1,260
cvpr,emnlp,2012,2010,1,523
cvpr,emnlp,2013,2002,1,129
cvpr,emnlp,2013,2006,1,311
cvpr,emnlp,2013,2009,1,546
cvpr,emnlp,2013,2010,1,660
cvpr,emnlp,2013,2011,1,747
cvpr,emnlp,2014,2006,1,221
cvpr,emnlp,2014,2008,1,321
cvpr,emnlp,2014,2010,1,459
cvpr,emnlp,2014,2011,2,566
cvpr,emnlp,2014,2012,1,685
cvpr,emnlp,2015,2006,1,266
cvpr,emnlp,2015,2007,2,383
cvpr,emnlp,2015,2008,2,405
cvpr,emnlp,2015,2011,3,698
cvpr,emnlp,2015,2012,1,868
cvpr,emnlp,2015,2013,3,992
cvpr,emnlp,2015,2014,6,927
