from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,icann,2000,1995,1,96
cvpr,icann,2004,1996,1,112
cvpr,icann,2004,1998,1,200
cvpr,icann,2004,2001,1,306
cvpr,icann,2005,1999,1,192
cvpr,icann,2005,2002,1,289
cvpr,icann,2006,1996,1,128
cvpr,icann,2007,1998,1,176
cvpr,icann,2007,1999,1,164
cvpr,icann,2007,2002,1,287
cvpr,icann,2007,2003,1,433
cvpr,icann,2008,1996,1,128
cvpr,icann,2008,1998,1,209
cvpr,icann,2008,1999,1,207
cvpr,icann,2008,2003,1,519
cvpr,icann,2008,2006,1,832
cvpr,icann,2009,1998,1,134
cvpr,icann,2009,1999,1,151
cvpr,icann,2009,2001,1,196
cvpr,icann,2009,2005,1,466
cvpr,icann,2010,1999,1,100
cvpr,icann,2010,2001,2,149
cvpr,icann,2010,2007,1,514
cvpr,icann,2011,1999,1,69
cvpr,icann,2012,2010,1,523
cvpr,icann,2012,2011,1,557
cvpr,icann,2013,1997,1,54
cvpr,icann,2013,2003,1,217
cvpr,icann,2013,2008,1,477
cvpr,icann,2013,2012,1,858
cvpr,icann,2014,1997,1,33
cvpr,icann,2014,2002,1,82
cvpr,icann,2014,2008,1,321
cvpr,icann,2015,2005,1,239
cvpr,icann,2015,2010,1,575
cvpr,icann,2015,2011,2,698
cvpr,icann,2015,2012,2,868
cvpr,icann,2015,2013,1,992
