from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,icb,2007,2006,4,599
cvpr,icb,2008,2006,5,832
cvpr,icb,2008,2007,9,921
cvpr,icb,2009,2006,1,571
cvpr,icb,2009,2007,7,729
cvpr,icb,2009,2008,2,714
cvpr,icb,2010,2006,5,403
cvpr,icb,2010,2007,5,514
cvpr,icb,2010,2008,4,577
cvpr,icb,2010,2009,5,542
cvpr,icb,2011,2006,1,237
cvpr,icb,2011,2007,2,324
cvpr,icb,2011,2009,4,496
cvpr,icb,2011,2010,1,462
cvpr,icb,2012,2006,1,260
cvpr,icb,2012,2007,3,323
cvpr,icb,2012,2008,4,354
cvpr,icb,2012,2009,7,463
cvpr,icb,2012,2010,1,523
cvpr,icb,2013,2006,1,311
cvpr,icb,2013,2007,3,402
cvpr,icb,2013,2008,1,477
cvpr,icb,2013,2009,5,546
cvpr,icb,2013,2010,4,660
cvpr,icb,2013,2012,12,858
cvpr,icb,2014,2006,1,221
cvpr,icb,2014,2009,5,395
cvpr,icb,2014,2010,3,459
cvpr,icb,2014,2013,2,624
cvpr,icb,2015,2007,2,383
cvpr,icb,2015,2008,1,405
cvpr,icb,2015,2009,7,537
cvpr,icb,2015,2010,1,575
cvpr,icb,2015,2012,1,868
cvpr,icb,2015,2013,9,992
