from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,iccv,1989,1987,2,35
cvpr,iccv,1989,1988,8,45
cvpr,iccv,1991,1987,6,38
cvpr,iccv,1991,1988,14,49
cvpr,iccv,1991,1990,14,54
cvpr,iccv,1992,1987,1,19
cvpr,iccv,1992,1988,7,31
cvpr,iccv,1992,1990,8,30
cvpr,iccv,1993,1987,3,23
cvpr,iccv,1993,1988,4,28
cvpr,iccv,1993,1990,7,38
cvpr,iccv,1994,1987,4,27
cvpr,iccv,1994,1988,7,30
cvpr,iccv,1994,1990,9,50
cvpr,iccv,1994,1993,9,77
cvpr,iccv,1996,1987,2,17
cvpr,iccv,1996,1988,4,22
cvpr,iccv,1996,1990,4,22
cvpr,iccv,1996,1991,1,40
cvpr,iccv,1996,1993,10,52
cvpr,iccv,1996,1995,49,93
cvpr,iccv,1997,1987,2,23
cvpr,iccv,1997,1988,2,15
cvpr,iccv,1997,1990,7,36
cvpr,iccv,1997,1991,1,51
cvpr,iccv,1997,1993,9,50
cvpr,iccv,1997,1995,38,102
cvpr,iccv,1997,1996,1,117
cvpr,iccv,1998,1988,5,24
cvpr,iccv,1998,1990,4,26
cvpr,iccv,1998,1991,1,34
cvpr,iccv,1998,1993,7,48
cvpr,iccv,1998,1995,31,80
cvpr,iccv,1999,1987,1,10
cvpr,iccv,1999,1988,3,11
cvpr,iccv,1999,1990,1,16
cvpr,iccv,1999,1993,5,23
cvpr,iccv,1999,1995,19,43
cvpr,iccv,1999,1998,18,84
cvpr,iccv,2000,1988,3,22
cvpr,iccv,2000,1990,2,26
cvpr,iccv,2000,1993,7,52
cvpr,iccv,2000,1995,24,96
cvpr,iccv,2000,1998,26,171
cvpr,iccv,2000,1999,48,156
cvpr,iccv,2001,1988,3,13
cvpr,iccv,2001,1990,2,23
cvpr,iccv,2001,1991,1,30
cvpr,iccv,2001,1993,2,39
cvpr,iccv,2001,1995,22,74
cvpr,iccv,2001,1998,27,154
cvpr,iccv,2001,1999,47,176
cvpr,iccv,2003,1987,4,27
cvpr,iccv,2003,1988,2,23
cvpr,iccv,2003,1990,4,39
