from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,icdar,1994,1993,5,77
cvpr,icdar,1996,1991,1,40
cvpr,icdar,2000,1993,1,52
cvpr,icdar,2000,1995,1,96
cvpr,icdar,2000,1999,2,156
cvpr,icdar,2001,1991,1,30
cvpr,icdar,2001,1999,2,176
cvpr,icdar,2003,1993,1,63
cvpr,icdar,2003,1995,5,97
cvpr,icdar,2003,1997,2,168
cvpr,icdar,2003,1999,5,210
cvpr,icdar,2003,2001,3,317
cvpr,icdar,2004,1993,2,60
cvpr,icdar,2004,1999,1,217
cvpr,icdar,2004,2003,3,432
cvpr,icdar,2005,1993,1,65
cvpr,icdar,2005,1995,1,108
cvpr,icdar,2005,1999,1,192
cvpr,icdar,2005,2003,4,436
cvpr,icdar,2006,1995,2,103
cvpr,icdar,2006,1997,2,168
cvpr,icdar,2006,2003,2,511
cvpr,icdar,2006,2005,2,674
cvpr,icdar,2007,1997,2,146
cvpr,icdar,2007,2003,1,433
cvpr,icdar,2007,2005,1,629
cvpr,icdar,2008,1993,1,75
cvpr,icdar,2008,2007,1,921
cvpr,icdar,2009,1993,1,46
cvpr,icdar,2009,1997,1,98
cvpr,icdar,2009,2001,1,196
cvpr,icdar,2009,2003,4,313
cvpr,icdar,2010,2003,1,207
cvpr,icdar,2010,2005,3,345
cvpr,icdar,2010,2007,1,514
cvpr,icdar,2011,1993,1,15
cvpr,icdar,2011,1995,2,35
cvpr,icdar,2011,1997,1,45
cvpr,icdar,2011,2003,2,136
cvpr,icdar,2011,2005,1,227
cvpr,icdar,2011,2009,2,496
cvpr,icdar,2012,2003,2,150
cvpr,icdar,2012,2005,2,203
cvpr,icdar,2012,2009,1,463
cvpr,icdar,2012,2011,5,557
cvpr,icdar,2013,1999,1,83
cvpr,icdar,2013,2003,1,217
cvpr,icdar,2013,2005,1,273
cvpr,icdar,2013,2007,1,402
cvpr,icdar,2013,2009,1,546
cvpr,icdar,2013,2011,5,747
cvpr,icdar,2014,1999,1,43
cvpr,icdar,2014,2003,3,126
cvpr,icdar,2014,2011,3,566
cvpr,icdar,2014,2013,2,624
cvpr,icdar,2015,2009,1,537
cvpr,icdar,2015,2011,3,698
cvpr,icdar,2015,2013,4,992
