from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,icml,1997,1996,1,117
cvpr,icml,1998,1997,1,112
cvpr,icml,2000,1999,1,156
cvpr,icml,2001,1988,1,13
cvpr,icml,2001,1997,1,112
cvpr,icml,2001,1998,1,154
cvpr,icml,2001,2000,1,174
cvpr,icml,2003,1996,2,131
cvpr,icml,2003,1997,2,168
cvpr,icml,2003,1998,3,223
cvpr,icml,2003,1999,2,210
cvpr,icml,2003,2000,4,259
cvpr,icml,2003,2001,3,317
cvpr,icml,2004,1987,1,29
cvpr,icml,2004,1993,1,60
cvpr,icml,2004,1994,1,81
cvpr,icml,2004,1995,2,110
cvpr,icml,2004,1996,3,112
cvpr,icml,2004,1997,2,153
cvpr,icml,2004,2000,2,268
cvpr,icml,2004,2001,5,306
cvpr,icml,2004,2002,1,291
cvpr,icml,2004,2003,3,432
cvpr,icml,2005,1995,1,108
cvpr,icml,2005,1996,2,106
cvpr,icml,2005,1997,1,160
cvpr,icml,2005,1998,2,206
cvpr,icml,2005,1999,3,192
cvpr,icml,2005,2000,5,255
cvpr,icml,2005,2001,4,311
cvpr,icml,2005,2002,5,289
cvpr,icml,2005,2003,7,436
cvpr,icml,2005,2004,10,480
cvpr,icml,2006,1996,3,128
cvpr,icml,2006,1997,2,168
cvpr,icml,2006,1998,2,226
cvpr,icml,2006,1999,2,222
cvpr,icml,2006,2000,5,261
cvpr,icml,2006,2001,4,342
cvpr,icml,2006,2002,1,301
cvpr,icml,2006,2003,5,511
cvpr,icml,2006,2004,7,591
cvpr,icml,2006,2005,7,674
cvpr,icml,2007,1995,1,85
cvpr,icml,2007,1996,2,116
cvpr,icml,2007,1997,2,146
cvpr,icml,2007,1998,5,176
cvpr,icml,2007,1999,1,164
cvpr,icml,2007,2000,4,219
cvpr,icml,2007,2001,3,276
cvpr,icml,2007,2002,2,287
cvpr,icml,2007,2003,3,433
cvpr,icml,2007,2004,14,476
cvpr,icml,2007,2005,7,629
cvpr,icml,2007,2006,11,599
cvpr,icml,2008,1992,1,70
cvpr,icml,2008,1996,2,128
cvpr,icml,2008,1997,2,177
cvpr,icml,2008,1998,4,209
cvpr,icml,2008,1999,1,207
cvpr,icml,2008,2000,7,265
cvpr,icml,2008,2001,5,323
cvpr,icml,2008,2002,3,342
cvpr,icml,2008,2003,7,519
cvpr,icml,2008,2004,11,573
cvpr,icml,2008,2005,11,723
cvpr,icml,2008,2006,17,832
cvpr,icml,2008,2007,14,921
cvpr,icml,2009,1996,1,77
cvpr,icml,2009,1997,2,98
cvpr,icml,2009,1998,2,134
cvpr,icml,2009,1999,3,151
cvpr,icml,2009,2000,4,171
cvpr,icml,2009,2001,2,196
cvpr,icml,2009,2002,5,216
cvpr,icml,2009,2003,6,313
cvpr,icml,2009,2004,10,373
cvpr,icml,2009,2005,10,466
cvpr,icml,2009,2006,10,571
cvpr,icml,2009,2007,13,729
cvpr,icml,2009,2008,15,714
cvpr,icml,2010,1996,1,56
cvpr,icml,2010,1997,2,58
cvpr,icml,2010,1998,2,110
cvpr,icml,2010,1999,1,100
cvpr,icml,2010,2000,4,105
cvpr,icml,2010,2001,1,149
cvpr,icml,2010,2002,1,118
cvpr,icml,2010,2003,3,207
cvpr,icml,2010,2004,7,265
cvpr,icml,2010,2005,4,345
cvpr,icml,2010,2006,5,403
cvpr,icml,2010,2007,11,514
cvpr,icml,2010,2008,11,577
cvpr,icml,2010,2009,9,542
cvpr,icml,2011,1996,1,36
cvpr,icml,2011,1997,1,45
cvpr,icml,2011,1999,1,69
cvpr,icml,2011,2001,2,89
cvpr,icml,2011,2002,1,94
cvpr,icml,2011,2003,3,136
cvpr,icml,2011,2004,3,167
cvpr,icml,2011,2005,2,227
cvpr,icml,2011,2006,7,237
cvpr,icml,2011,2007,9,324
cvpr,icml,2011,2008,10,417
cvpr,icml,2011,2009,12,496
cvpr,icml,2011,2010,8,462
cvpr,icml,2012,1998,1,51
cvpr,icml,2012,1999,1,54
cvpr,icml,2012,2000,1,63
cvpr,icml,2012,2001,2,88
cvpr,icml,2012,2002,2,88
cvpr,icml,2012,2003,6,150
cvpr,icml,2012,2004,4,156
cvpr,icml,2012,2005,8,203
cvpr,icml,2012,2006,4,260
cvpr,icml,2012,2007,9,323
cvpr,icml,2012,2008,8,354
cvpr,icml,2012,2009,17,463
cvpr,icml,2012,2010,9,523
cvpr,icml,2012,2011,9,557
cvpr,icml,2013,1996,1,43
cvpr,icml,2013,1998,1,66
cvpr,icml,2013,1999,1,83
cvpr,icml,2013,2000,2,89
cvpr,icml,2013,2001,2,117
cvpr,icml,2013,2003,3,217
cvpr,icml,2013,2004,8,213
cvpr,icml,2013,2005,5,273
cvpr,icml,2013,2006,5,311
cvpr,icml,2013,2007,7,402
cvpr,icml,2013,2008,13,477
cvpr,icml,2013,2009,14,546
cvpr,icml,2013,2010,10,660
cvpr,icml,2013,2011,17,747
cvpr,icml,2013,2012,10,858
cvpr,icml,2014,1997,1,33
cvpr,icml,2014,1998,2,61
cvpr,icml,2014,2000,1,49
cvpr,icml,2014,2002,2,82
cvpr,icml,2014,2003,2,126
cvpr,icml,2014,2004,5,154
cvpr,icml,2014,2005,5,175
cvpr,icml,2014,2006,6,221
cvpr,icml,2014,2007,9,248
cvpr,icml,2014,2008,7,321
cvpr,icml,2014,2009,13,395
cvpr,icml,2014,2010,10,459
cvpr,icml,2014,2011,13,566
cvpr,icml,2014,2012,19,685
cvpr,icml,2014,2013,20,624
cvpr,icml,2015,1996,1,42
cvpr,icml,2015,1998,5,73
cvpr,icml,2015,2000,1,79
cvpr,icml,2015,2001,3,116
cvpr,icml,2015,2002,2,124
cvpr,icml,2015,2003,6,180
cvpr,icml,2015,2004,6,219
cvpr,icml,2015,2005,6,239
cvpr,icml,2015,2006,6,266
cvpr,icml,2015,2007,14,383
cvpr,icml,2015,2008,9,405
cvpr,icml,2015,2009,15,537
cvpr,icml,2015,2010,12,575
cvpr,icml,2015,2011,22,698
cvpr,icml,2015,2012,20,868
cvpr,icml,2015,2013,27,992
cvpr,icml,2015,2014,14,927
