from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,icpr,1988,1984,1,25
cvpr,icpr,1989,1976,1,4
cvpr,icpr,1989,1986,1,32
cvpr,icpr,1991,1982,1,13
cvpr,icpr,1991,1988,5,49
cvpr,icpr,1991,1990,9,54
cvpr,icpr,1992,1984,1,11
cvpr,icpr,1992,1988,1,31
cvpr,icpr,1992,1990,5,30
cvpr,icpr,1993,1984,1,11
cvpr,icpr,1993,1988,1,28
cvpr,icpr,1993,1990,2,38
cvpr,icpr,1993,1992,5,56
cvpr,icpr,1994,1990,6,50
cvpr,icpr,1994,1992,4,89
cvpr,icpr,1996,1990,5,22
cvpr,icpr,1996,1992,1,40
cvpr,icpr,1996,1994,6,82
cvpr,icpr,1997,1990,3,36
cvpr,icpr,1997,1992,1,56
cvpr,icpr,1997,1994,5,87
cvpr,icpr,1997,1996,13,117
cvpr,icpr,1998,1980,1,6
cvpr,icpr,1998,1988,1,24
cvpr,icpr,1998,1990,3,26
cvpr,icpr,1998,1992,1,37
cvpr,icpr,1998,1994,2,74
cvpr,icpr,1998,1996,6,86
cvpr,icpr,1999,1990,2,16
cvpr,icpr,1999,1994,1,42
cvpr,icpr,1999,1996,5,56
cvpr,icpr,1999,1998,4,84
cvpr,icpr,2000,1988,1,22
cvpr,icpr,2000,1990,2,26
cvpr,icpr,2000,1994,3,63
cvpr,icpr,2000,1996,7,90
cvpr,icpr,2000,1998,9,171
cvpr,icpr,2001,1990,1,23
cvpr,icpr,2001,1996,9,76
cvpr,icpr,2001,1998,3,154
cvpr,icpr,2001,2000,11,174
cvpr,icpr,2003,1978,1,9
cvpr,icpr,2003,1982,1,7
cvpr,icpr,2003,1992,3,67
cvpr,icpr,2003,1994,4,72
cvpr,icpr,2003,1996,13,131
cvpr,icpr,2003,1998,7,223
cvpr,icpr,2003,2000,20,259
cvpr,icpr,2003,2002,20,282
cvpr,icpr,2004,1988,1,27
cvpr,icpr,2004,1990,1,38
cvpr,icpr,2004,1994,6,81
cvpr,icpr,2004,1996,5,112
cvpr,icpr,2004,1998,6,200
cvpr,icpr,2004,2000,17,268
cvpr,icpr,2004,2002,24,291
cvpr,icpr,2005,1984,1,8
cvpr,icpr,2005,1990,1,46
cvpr,icpr,2005,1992,3,74
cvpr,icpr,2005,1994,5,79
cvpr,icpr,2005,1996,10,106
cvpr,icpr,2005,1998,6,206
cvpr,icpr,2005,2000,12,255
cvpr,icpr,2005,2002,11,289
cvpr,icpr,2005,2004,38,480
cvpr,icpr,2006,1990,1,50
cvpr,icpr,2006,1992,3,66
cvpr,icpr,2006,1994,5,91
cvpr,icpr,2006,1996,9,128
cvpr,icpr,2006,1998,8,226
cvpr,icpr,2006,2000,12,261
cvpr,icpr,2006,2002,26,301
cvpr,icpr,2006,2004,39,591
cvpr,icpr,2007,1978,1,4
cvpr,icpr,2007,1988,1,16
cvpr,icpr,2007,1990,3,36
cvpr,icpr,2007,1992,1,63
cvpr,icpr,2007,1994,3,65
cvpr,icpr,2007,1996,10,116
cvpr,icpr,2007,1998,4,176
cvpr,icpr,2007,2000,14,219
cvpr,icpr,2007,2002,23,287
cvpr,icpr,2007,2004,26,476
cvpr,icpr,2007,2005,2,629
cvpr,icpr,2007,2006,29,599
cvpr,icpr,2008,1984,1,20
cvpr,icpr,2008,1988,1,39
cvpr,icpr,2008,1990,3,38
cvpr,icpr,2008,1994,6,85
cvpr,icpr,2008,1996,4,128
cvpr,icpr,2008,1998,5,209
cvpr,icpr,2008,2000,9,265
cvpr,icpr,2008,2002,16,342
cvpr,icpr,2008,2004,25,573
cvpr,icpr,2008,2005,1,723
cvpr,icpr,2008,2006,45,832
cvpr,icpr,2009,1978,1,9
cvpr,icpr,2009,1984,1,11
cvpr,icpr,2009,1990,1,31
cvpr,icpr,2009,1994,2,43
cvpr,icpr,2009,1996,3,77
cvpr,icpr,2009,1998,6,134
cvpr,icpr,2009,2000,7,171
cvpr,icpr,2009,2002,6,216
cvpr,icpr,2009,2004,15,373
cvpr,icpr,2009,2006,29,571
cvpr,icpr,2009,2007,1,729
cvpr,icpr,2009,2008,16,714
cvpr,icpr,2010,1984,1,8
cvpr,icpr,2010,1990,2,14
cvpr,icpr,2010,1994,2,38
cvpr,icpr,2010,1996,2,56
cvpr,icpr,2010,1998,1,110
cvpr,icpr,2010,2000,1,105
cvpr,icpr,2010,2002,1,118
cvpr,icpr,2010,2004,12,265
cvpr,icpr,2010,2005,1,345
cvpr,icpr,2010,2006,14,403
cvpr,icpr,2010,2007,1,514
cvpr,icpr,2010,2008,11,577
cvpr,icpr,2011,1990,1,11
cvpr,icpr,2011,1994,2,27
cvpr,icpr,2011,1996,4,36
cvpr,icpr,2011,2000,1,61
cvpr,icpr,2011,2002,5,94
cvpr,icpr,2011,2004,7,167
cvpr,icpr,2011,2006,5,237
cvpr,icpr,2011,2008,2,417
cvpr,icpr,2011,2010,7,462
cvpr,icpr,2012,1994,2,34
cvpr,icpr,2012,1996,1,28
cvpr,icpr,2012,1998,1,51
cvpr,icpr,2012,2000,1,63
cvpr,icpr,2012,2002,5,88
cvpr,icpr,2012,2004,7,156
cvpr,icpr,2012,2006,8,260
cvpr,icpr,2012,2008,5,354
cvpr,icpr,2012,2010,9,523
cvpr,icpr,2012,2011,1,557
cvpr,icpr,2013,1978,1,6
cvpr,icpr,2013,1990,1,20
cvpr,icpr,2013,1994,1,43
cvpr,icpr,2013,1998,1,66
cvpr,icpr,2013,2000,5,89
cvpr,icpr,2013,2002,8,129
cvpr,icpr,2013,2004,7,213
cvpr,icpr,2013,2006,4,311
cvpr,icpr,2013,2008,7,477
cvpr,icpr,2013,2010,11,660
cvpr,icpr,2013,2012,12,858
cvpr,icpr,2014,1992,1,27
cvpr,icpr,2014,1994,3,20
cvpr,icpr,2014,1996,2,30
cvpr,icpr,2014,1998,1,61
cvpr,icpr,2014,2000,1,49
cvpr,icpr,2014,2002,1,82
cvpr,icpr,2014,2004,5,154
cvpr,icpr,2014,2006,5,221
cvpr,icpr,2014,2008,6,321
cvpr,icpr,2014,2010,15,459
cvpr,icpr,2014,2012,10,685
cvpr,icpr,2015,1992,1,42
cvpr,icpr,2015,1994,4,48
cvpr,icpr,2015,2000,1,79
cvpr,icpr,2015,2002,7,124
cvpr,icpr,2015,2004,4,219
cvpr,icpr,2015,2006,9,266
cvpr,icpr,2015,2007,2,383
cvpr,icpr,2015,2008,3,405
cvpr,icpr,2015,2010,9,575
cvpr,icpr,2015,2011,1,698
cvpr,icpr,2015,2012,20,868
cvpr,icpr,2015,2014,16,927
