from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,ijcai,1983,1973,1,1
cvpr,ijcai,1988,1973,1,8
cvpr,ijcai,1988,1977,3,14
cvpr,ijcai,1988,1979,1,10
cvpr,ijcai,1988,1980,1,16
cvpr,ijcai,1988,1981,1,26
cvpr,ijcai,1988,1983,9,28
cvpr,ijcai,1988,1985,3,38
cvpr,ijcai,1989,1971,1,4
cvpr,ijcai,1989,1973,1,5
cvpr,ijcai,1989,1975,1,6
cvpr,ijcai,1989,1979,2,10
cvpr,ijcai,1989,1981,2,13
cvpr,ijcai,1989,1983,2,21
cvpr,ijcai,1989,1985,3,28
cvpr,ijcai,1991,1981,2,13
cvpr,ijcai,1991,1983,1,14
cvpr,ijcai,1991,1985,1,18
cvpr,ijcai,1992,1973,1,2
cvpr,ijcai,1992,1977,1,2
cvpr,ijcai,1992,1981,3,10
cvpr,ijcai,1992,1983,2,8
cvpr,ijcai,1992,1985,2,8
cvpr,ijcai,1992,1987,1,19
cvpr,ijcai,1993,1983,1,10
cvpr,ijcai,1994,1979,1,3
cvpr,ijcai,1994,1981,1,10
cvpr,ijcai,1994,1983,2,15
cvpr,ijcai,1994,1985,3,19
cvpr,ijcai,1994,1989,2,24
cvpr,ijcai,1996,1981,1,7
cvpr,ijcai,1996,1983,1,9
cvpr,ijcai,1996,1985,1,7
cvpr,ijcai,1997,1981,1,9
cvpr,ijcai,1997,1983,1,13
cvpr,ijcai,1997,1991,1,51
cvpr,ijcai,1997,1995,1,102
cvpr,ijcai,1998,1977,1,3
cvpr,ijcai,1998,1981,2,7
cvpr,ijcai,1998,1985,1,10
cvpr,ijcai,1998,1993,1,48
cvpr,ijcai,1998,1995,2,80
cvpr,ijcai,1999,1977,1,4
cvpr,ijcai,1999,1981,1,4
cvpr,ijcai,1999,1991,1,25
cvpr,ijcai,1999,1997,1,71
cvpr,ijcai,2000,1979,1,6
cvpr,ijcai,2000,1981,1,10
cvpr,ijcai,2000,1985,1,10
cvpr,ijcai,2001,1977,1,5
cvpr,ijcai,2001,1981,1,13
cvpr,ijcai,2001,1995,1,74
cvpr,ijcai,2003,1977,2,8
cvpr,ijcai,2003,1979,1,4
cvpr,ijcai,2003,1981,3,13
cvpr,ijcai,2003,1995,1,97
cvpr,ijcai,2003,1997,2,168
cvpr,ijcai,2003,1999,1,210
cvpr,ijcai,2004,1977,1,10
cvpr,ijcai,2004,1981,4,11
cvpr,ijcai,2004,1983,1,12
cvpr,ijcai,2004,1985,1,19
cvpr,ijcai,2004,1999,2,217
cvpr,ijcai,2004,2003,3,432
cvpr,ijcai,2005,1977,1,6
