from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,ml,1991,1988,1,49
cvpr,ml,1997,1995,1,102
cvpr,ml,1998,1997,1,112
cvpr,ml,2000,1995,1,96
cvpr,ml,2000,1997,1,126
cvpr,ml,2001,1991,1,30
cvpr,ml,2001,1992,1,33
cvpr,ml,2001,1997,1,112
cvpr,ml,2001,1998,1,154
cvpr,ml,2001,1999,1,176
cvpr,ml,2003,1990,1,39
cvpr,ml,2003,1992,1,67
cvpr,ml,2003,1995,1,97
cvpr,ml,2003,1997,2,168
cvpr,ml,2003,1998,1,223
cvpr,ml,2003,1999,2,210
cvpr,ml,2003,2000,2,259
cvpr,ml,2003,2001,1,317
cvpr,ml,2003,2002,2,282
cvpr,ml,2004,1988,1,27
cvpr,ml,2004,1992,1,55
cvpr,ml,2004,1995,2,110
cvpr,ml,2004,1997,1,153
cvpr,ml,2004,1998,1,200
cvpr,ml,2004,1999,3,217
cvpr,ml,2004,2000,1,268
cvpr,ml,2004,2003,3,432
cvpr,ml,2005,1986,1,13
cvpr,ml,2005,1988,1,30
cvpr,ml,2005,1991,1,43
cvpr,ml,2005,1995,2,108
cvpr,ml,2005,1997,1,160
cvpr,ml,2005,1998,2,206
cvpr,ml,2005,1999,2,192
cvpr,ml,2005,2000,1,255
cvpr,ml,2005,2002,3,289
cvpr,ml,2005,2003,2,436
cvpr,ml,2005,2004,2,480
cvpr,ml,2006,1986,1,25
cvpr,ml,2006,1990,1,50
cvpr,ml,2006,1995,1,103
cvpr,ml,2006,1997,1,168
cvpr,ml,2006,1998,1,226
cvpr,ml,2006,1999,1,222
cvpr,ml,2006,2000,1,261
cvpr,ml,2006,2001,1,342
cvpr,ml,2006,2002,3,301
cvpr,ml,2006,2003,1,511
cvpr,ml,2006,2004,2,591
cvpr,ml,2006,2005,1,674
cvpr,ml,2007,1994,1,65
cvpr,ml,2007,1995,1,85
cvpr,ml,2007,1997,3,146
cvpr,ml,2007,1999,2,164
cvpr,ml,2007,2000,1,219
cvpr,ml,2007,2001,1,276
cvpr,ml,2007,2002,2,287
cvpr,ml,2007,2003,2,433
cvpr,ml,2007,2004,2,476
cvpr,ml,2007,2005,4,629
cvpr,ml,2007,2006,1,599
cvpr,ml,2008,1990,1,38
cvpr,ml,2008,1995,2,114
cvpr,ml,2008,1997,3,177
