from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,naacl,2004,2003,2,432
cvpr,naacl,2006,2003,2,511
cvpr,naacl,2007,2003,1,433
cvpr,naacl,2008,2003,2,519
cvpr,naacl,2008,2004,1,573
cvpr,naacl,2009,2003,1,313
cvpr,naacl,2009,2004,1,373
cvpr,naacl,2009,2007,1,729
cvpr,naacl,2010,2009,1,542
cvpr,naacl,2011,2003,1,136
cvpr,naacl,2012,2007,1,323
cvpr,naacl,2012,2010,1,523
cvpr,naacl,2013,2003,2,217
cvpr,naacl,2013,2004,1,213
cvpr,naacl,2013,2010,2,660
cvpr,naacl,2014,2003,1,126
cvpr,naacl,2014,2004,1,154
cvpr,naacl,2015,2000,1,79
cvpr,naacl,2015,2001,1,116
cvpr,naacl,2015,2004,2,219
cvpr,naacl,2015,2007,1,383
cvpr,naacl,2015,2008,1,405
cvpr,naacl,2015,2009,2,537
cvpr,naacl,2015,2010,2,575
cvpr,naacl,2015,2012,1,868
