from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,nips,1991,1989,1,32
cvpr,nips,1994,1992,2,89
cvpr,nips,1997,1990,1,36
cvpr,nips,1997,1994,1,87
cvpr,nips,1997,1995,3,102
cvpr,nips,1997,1996,1,117
cvpr,nips,1998,1994,2,74
cvpr,nips,1998,1995,1,80
cvpr,nips,1999,1994,1,42
cvpr,nips,2000,1988,1,22
cvpr,nips,2000,1990,1,26
cvpr,nips,2000,1992,3,42
cvpr,nips,2000,1995,2,96
cvpr,nips,2000,1998,1,171
cvpr,nips,2000,1999,2,156
cvpr,nips,2001,1992,1,33
cvpr,nips,2001,1997,1,112
cvpr,nips,2001,1998,1,154
cvpr,nips,2001,1999,2,176
cvpr,nips,2001,2000,4,174
cvpr,nips,2002,2001,1,2
cvpr,nips,2003,1992,2,67
cvpr,nips,2003,1994,1,72
cvpr,nips,2003,1995,3,97
cvpr,nips,2003,1996,4,131
cvpr,nips,2003,1997,4,168
cvpr,nips,2003,1998,5,223
cvpr,nips,2003,1999,2,210
cvpr,nips,2003,2000,5,259
cvpr,nips,2003,2001,7,317
cvpr,nips,2003,2002,8,282
cvpr,nips,2004,1992,1,55
cvpr,nips,2004,1995,1,110
cvpr,nips,2004,1996,2,112
cvpr,nips,2004,1997,4,153
cvpr,nips,2004,1998,5,200
cvpr,nips,2004,1999,2,217
cvpr,nips,2004,2000,7,268
cvpr,nips,2004,2001,5,306
cvpr,nips,2004,2002,8,291
cvpr,nips,2004,2003,18,432
cvpr,nips,2005,1990,2,46
cvpr,nips,2005,1994,2,79
cvpr,nips,2005,1996,1,106
cvpr,nips,2005,1997,1,160
cvpr,nips,2005,1998,5,206
cvpr,nips,2005,1999,10,192
cvpr,nips,2005,2000,9,255
cvpr,nips,2005,2001,12,311
cvpr,nips,2005,2002,10,289
cvpr,nips,2005,2003,24,436
cvpr,nips,2005,2004,15,480
cvpr,nips,2006,1990,2,50
cvpr,nips,2006,1991,1,55
cvpr,nips,2006,1992,2,66
cvpr,nips,2006,1994,2,91
cvpr,nips,2006,1996,4,128
cvpr,nips,2006,1997,2,168
cvpr,nips,2006,1998,4,226
cvpr,nips,2006,1999,5,222
cvpr,nips,2006,2000,9,261
cvpr,nips,2006,2001,11,342
cvpr,nips,2006,2002,6,301
cvpr,nips,2006,2003,25,511
cvpr,nips,2006,2004,16,591
cvpr,nips,2006,2005,18,674
cvpr,nips,2007,1991,1,50
cvpr,nips,2007,1992,1,63
cvpr,nips,2007,1993,1,49
cvpr,nips,2007,1995,2,85
cvpr,nips,2007,1996,4,116
cvpr,nips,2007,1997,3,146
cvpr,nips,2007,1998,6,176
cvpr,nips,2007,1999,6,164
cvpr,nips,2007,2000,8,219
cvpr,nips,2007,2001,11,276
cvpr,nips,2007,2002,11,287
cvpr,nips,2007,2003,19,433
cvpr,nips,2007,2004,21,476
cvpr,nips,2007,2005,17,629
cvpr,nips,2007,2006,21,599
cvpr,nips,2008,1990,1,38
cvpr,nips,2008,1995,2,114
cvpr,nips,2008,1996,1,128
cvpr,nips,2008,1997,2,177
cvpr,nips,2008,1998,4,209
cvpr,nips,2008,1999,6,207
cvpr,nips,2008,2000,10,265
cvpr,nips,2008,2001,17,323
cvpr,nips,2008,2002,11,342
cvpr,nips,2008,2003,29,519
cvpr,nips,2008,2004,28,573
cvpr,nips,2008,2005,21,723
cvpr,nips,2008,2006,20,832
cvpr,nips,2008,2007,22,921
cvpr,nips,2009,1992,1,45
cvpr,nips,2009,1997,2,98
cvpr,nips,2009,1998,1,134
cvpr,nips,2009,1999,2,151
cvpr,nips,2009,2000,7,171
cvpr,nips,2009,2001,14,196
cvpr,nips,2009,2002,8,216
cvpr,nips,2009,2003,23,313
cvpr,nips,2009,2004,14,373
cvpr,nips,2009,2005,13,466
cvpr,nips,2009,2006,22,571
cvpr,nips,2009,2007,25,729
cvpr,nips,2009,2008,16,714
cvpr,nips,2010,1991,1,31
cvpr,nips,2010,1994,2,38
cvpr,nips,2010,1995,1,48
cvpr,nips,2010,1996,2,56
cvpr,nips,2010,1997,1,58
cvpr,nips,2010,1998,2,110
cvpr,nips,2010,1999,5,100
cvpr,nips,2010,2000,4,105
cvpr,nips,2010,2001,7,149
cvpr,nips,2010,2002,4,118
cvpr,nips,2010,2003,18,207
cvpr,nips,2010,2004,14,265
cvpr,nips,2010,2005,10,345
cvpr,nips,2010,2006,11,403
cvpr,nips,2010,2007,20,514
cvpr,nips,2010,2008,22,577
cvpr,nips,2010,2009,19,542
cvpr,nips,2011,1992,1,23
cvpr,nips,2011,1995,2,35
cvpr,nips,2011,1997,2,45
cvpr,nips,2011,1998,1,57
cvpr,nips,2011,1999,2,69
cvpr,nips,2011,2000,2,61
cvpr,nips,2011,2001,4,89
cvpr,nips,2011,2002,5,94
cvpr,nips,2011,2003,12,136
cvpr,nips,2011,2004,9,167
cvpr,nips,2011,2005,6,227
cvpr,nips,2011,2006,10,237
cvpr,nips,2011,2007,22,324
cvpr,nips,2011,2008,16,417
cvpr,nips,2011,2009,27,496
cvpr,nips,2011,2010,14,462
cvpr,nips,2012,1990,1,14
cvpr,nips,2012,1992,1,22
cvpr,nips,2012,1994,1,34
cvpr,nips,2012,1996,1,28
cvpr,nips,2012,1998,1,51
cvpr,nips,2012,1999,3,54
cvpr,nips,2012,2000,3,63
cvpr,nips,2012,2001,6,88
cvpr,nips,2012,2002,5,88
cvpr,nips,2012,2003,9,150
cvpr,nips,2012,2004,8,156
cvpr,nips,2012,2005,10,203
cvpr,nips,2012,2006,14,260
cvpr,nips,2012,2007,13,323
cvpr,nips,2012,2008,11,354
cvpr,nips,2012,2009,29,463
cvpr,nips,2012,2010,21,523
cvpr,nips,2012,2011,16,557
cvpr,nips,2013,1992,1,29
cvpr,nips,2013,1995,1,39
cvpr,nips,2013,1996,1,43
cvpr,nips,2013,1998,1,66
cvpr,nips,2013,1999,5,83
cvpr,nips,2013,2000,2,89
cvpr,nips,2013,2001,5,117
cvpr,nips,2013,2002,7,129
cvpr,nips,2013,2003,23,217
cvpr,nips,2013,2004,12,213
cvpr,nips,2013,2005,9,273
cvpr,nips,2013,2006,15,311
cvpr,nips,2013,2007,17,402
cvpr,nips,2013,2008,19,477
cvpr,nips,2013,2009,30,546
cvpr,nips,2013,2010,25,660
cvpr,nips,2013,2011,25,747
cvpr,nips,2013,2012,24,858
cvpr,nips,2014,1990,2,18
cvpr,nips,2014,1991,1,11
cvpr,nips,2014,1994,1,20
cvpr,nips,2014,1997,1,33
cvpr,nips,2014,1998,2,61
cvpr,nips,2014,1999,3,43
cvpr,nips,2014,2001,7,76
cvpr,nips,2014,2002,6,82
cvpr,nips,2014,2003,9,126
cvpr,nips,2014,2004,7,154
cvpr,nips,2014,2005,7,175
cvpr,nips,2014,2006,10,221
cvpr,nips,2014,2007,12,248
cvpr,nips,2014,2008,15,321
cvpr,nips,2014,2009,20,395
cvpr,nips,2014,2010,20,459
cvpr,nips,2014,2011,27,566
cvpr,nips,2014,2012,25,685
cvpr,nips,2014,2013,9,624
cvpr,nips,2015,1990,3,23
cvpr,nips,2015,1991,1,37
cvpr,nips,2015,1992,1,42
cvpr,nips,2015,1993,2,26
cvpr,nips,2015,1994,2,48
cvpr,nips,2015,1995,1,44
cvpr,nips,2015,1997,1,61
cvpr,nips,2015,1998,1,73
cvpr,nips,2015,1999,2,76
cvpr,nips,2015,2000,2,79
cvpr,nips,2015,2001,7,116
cvpr,nips,2015,2002,8,124
cvpr,nips,2015,2003,10,180
cvpr,nips,2015,2004,10,219
cvpr,nips,2015,2005,9,239
cvpr,nips,2015,2006,10,266
cvpr,nips,2015,2007,13,383
cvpr,nips,2015,2008,21,405
cvpr,nips,2015,2009,37,537
cvpr,nips,2015,2010,29,575
cvpr,nips,2015,2011,34,698
cvpr,nips,2015,2012,38,868
cvpr,nips,2015,2013,33,992
cvpr,nips,2015,2014,29,927
