from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
cvpr,uai,1988,1987,1,50
cvpr,uai,1993,1987,1,23
cvpr,uai,1994,1987,1,27
cvpr,uai,1998,1997,1,112
cvpr,uai,1999,1997,2,71
cvpr,uai,2000,1997,1,126
cvpr,uai,2000,1998,1,171
cvpr,uai,2001,1997,1,112
cvpr,uai,2002,1997,1,3
cvpr,uai,2003,1997,1,168
cvpr,uai,2003,1998,1,223
cvpr,uai,2004,1997,1,153
cvpr,uai,2004,1998,1,200
cvpr,uai,2004,1999,3,217
cvpr,uai,2004,2000,2,268
cvpr,uai,2005,1997,1,160
cvpr,uai,2005,1998,2,206
cvpr,uai,2005,2000,2,255
cvpr,uai,2005,2001,2,311
cvpr,uai,2005,2002,1,289
cvpr,uai,2005,2003,1,436
cvpr,uai,2006,1997,1,168
cvpr,uai,2006,1998,2,226
cvpr,uai,2006,1999,1,222
cvpr,uai,2006,2000,1,261
cvpr,uai,2006,2001,2,342
cvpr,uai,2006,2003,1,511
cvpr,uai,2006,2004,2,591
cvpr,uai,2007,1996,1,116
cvpr,uai,2007,1997,1,146
cvpr,uai,2007,1999,2,164
cvpr,uai,2007,2000,1,219
cvpr,uai,2007,2002,1,287
cvpr,uai,2007,2004,2,476
cvpr,uai,2007,2005,1,629
cvpr,uai,2008,1990,1,38
cvpr,uai,2008,1997,1,177
cvpr,uai,2008,1999,2,207
cvpr,uai,2008,2000,2,265
cvpr,uai,2008,2002,2,342
cvpr,uai,2008,2003,1,519
cvpr,uai,2008,2004,2,573
cvpr,uai,2009,1998,1,134
cvpr,uai,2009,2004,1,373
cvpr,uai,2010,1997,1,58
cvpr,uai,2010,2000,1,105
cvpr,uai,2010,2001,1,149
cvpr,uai,2010,2002,2,118
cvpr,uai,2011,1997,1,45
cvpr,uai,2012,1997,1,40
cvpr,uai,2012,1999,1,54
cvpr,uai,2012,2000,1,63
cvpr,uai,2012,2009,2,463
cvpr,uai,2013,1999,1,83
cvpr,uai,2013,2001,1,117
cvpr,uai,2013,2009,2,546
cvpr,uai,2013,2012,5,858
cvpr,uai,2014,1998,1,61
cvpr,uai,2014,1999,1,43
cvpr,uai,2014,2012,4,685
cvpr,uai,2015,1999,1,76
cvpr,uai,2015,2004,1,219
cvpr,uai,2015,2012,1,868
