from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ecai,aaai,1990,1980,1,1
ecai,aaai,1990,1984,1,2
ecai,aaai,1990,1986,4,12
ecai,aaai,1990,1987,4,11
ecai,aaai,1990,1988,6,15
ecai,aaai,1992,1988,2,9
ecai,aaai,1992,1990,1,6
ecai,aaai,1992,1991,2,6
ecai,aaai,1993,1984,1,2
ecai,aaai,1994,1983,1,7
ecai,aaai,1994,1984,1,3
ecai,aaai,1994,1986,1,10
ecai,aaai,1994,1987,2,16
ecai,aaai,1994,1988,3,17
ecai,aaai,1994,1990,6,30
ecai,aaai,1994,1991,4,36
ecai,aaai,1994,1992,6,31
ecai,aaai,1994,1993,1,21
ecai,aaai,1995,1988,1,1
ecai,aaai,1996,1990,3,7
ecai,aaai,1996,1992,2,20
ecai,aaai,1996,1994,4,37
ecai,aaai,1997,1988,1,3
ecai,aaai,1997,1990,3,8
ecai,aaai,1997,1992,1,4
ecai,aaai,1997,1993,1,10
ecai,aaai,1997,1994,1,11
ecai,aaai,1998,1990,1,7
ecai,aaai,1998,1992,1,6
ecai,aaai,1998,1996,2,10
ecai,aaai,1999,1986,1,9
ecai,aaai,1999,1994,1,26
ecai,aaai,2000,1982,1,2
ecai,aaai,2000,1987,1,7
ecai,aaai,2000,1988,1,3
ecai,aaai,2000,1990,1,7
ecai,aaai,2000,1991,2,10
ecai,aaai,2000,1992,2,12
ecai,aaai,2000,1994,1,16
ecai,aaai,2000,1996,5,25
ecai,aaai,2000,1997,3,39
ecai,aaai,2000,1998,4,29
ecai,aaai,2000,1999,6,35
ecai,aaai,2002,1990,1,11
ecai,aaai,2002,1993,2,15
ecai,aaai,2002,1994,3,16
ecai,aaai,2002,1996,1,17
ecai,aaai,2004,1986,1,3
ecai,aaai,2004,1987,1,10
ecai,aaai,2004,1988,1,6
ecai,aaai,2004,1991,2,20
ecai,aaai,2004,1993,3,26
ecai,aaai,2004,1994,3,30
ecai,aaai,2004,1996,5,28
ecai,aaai,2004,1997,1,40
ecai,aaai,2004,1998,2,45
ecai,aaai,2004,1999,3,42
ecai,aaai,2004,2000,5,56
ecai,aaai,2004,2002,3,70
ecai,aaai,2006,1986,1,7
ecai,aaai,2006,1987,2,10
ecai,aaai,2006,1988,1,7
ecai,aaai,2006,1990,1,7
ecai,aaai,2006,1992,2,17
ecai,aaai,2006,1993,2,12
ecai,aaai,2006,1994,2,18
ecai,aaai,2006,1996,4,33
ecai,aaai,2006,1997,3,25
ecai,aaai,2006,1998,3,30
ecai,aaai,2006,1999,2,39
ecai,aaai,2006,2000,4,33
ecai,aaai,2006,2002,4,45
ecai,aaai,2006,2004,1,75
ecai,aaai,2006,2005,4,73
ecai,aaai,2007,1999,1,2
ecai,aaai,2008,1986,1,3
ecai,aaai,2008,1988,3,11
ecai,aaai,2008,1990,2,7
ecai,aaai,2008,1992,2,12
ecai,aaai,2008,1996,2,23
ecai,aaai,2008,1997,1,24
ecai,aaai,2008,1998,6,34
ecai,aaai,2008,1999,1,32
ecai,aaai,2008,2000,2,25
ecai,aaai,2008,2002,3,41
ecai,aaai,2008,2004,1,53
ecai,aaai,2008,2005,3,75
ecai,aaai,2008,2006,7,86
ecai,aaai,2008,2007,9,75
ecai,aaai,2010,1991,1,6
ecai,aaai,2010,1992,1,9
ecai,aaai,2010,1993,1,7
ecai,aaai,2010,1994,2,15
ecai,aaai,2010,1996,2,15
ecai,aaai,2010,1997,4,22
ecai,aaai,2010,1998,2,19
ecai,aaai,2010,1999,1,22
ecai,aaai,2010,2000,2,22
ecai,aaai,2010,2004,2,39
ecai,aaai,2010,2005,9,72
ecai,aaai,2010,2006,4,57
ecai,aaai,2010,2007,8,78
ecai,aaai,2010,2008,8,86
ecai,aaai,2012,1996,1,2
ecai,aaai,2012,2004,1,1
ecai,aaai,2012,2011,1,1
ecai,aaai,2013,2005,1,3
ecai,aaai,2013,2006,1,2
