from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ecai,aamas,2000,1998,1,29
ecai,aamas,2002,1998,1,26
ecai,aamas,2002,2000,2,23
ecai,aamas,2002,2001,2,27
ecai,aamas,2004,1997,2,40
ecai,aamas,2004,2000,1,56
ecai,aamas,2004,2002,2,70
ecai,aamas,2004,2003,6,65
ecai,aamas,2005,2000,1,2
ecai,aamas,2006,1997,1,25
ecai,aamas,2006,2000,2,33
ecai,aamas,2006,2001,1,41
ecai,aamas,2006,2002,4,45
ecai,aamas,2006,2003,1,55
ecai,aamas,2006,2004,6,75
ecai,aamas,2006,2005,1,73
ecai,aamas,2008,2002,1,41
ecai,aamas,2008,2003,3,54
ecai,aamas,2008,2004,4,53
ecai,aamas,2008,2005,3,75
ecai,aamas,2008,2006,6,86
ecai,aamas,2008,2007,6,75
ecai,aamas,2010,1997,1,22
ecai,aamas,2010,2000,1,22
ecai,aamas,2010,2001,2,38
ecai,aamas,2010,2002,2,28
ecai,aamas,2010,2003,3,50
ecai,aamas,2010,2005,5,72
ecai,aamas,2010,2006,4,57
ecai,aamas,2010,2007,4,78
ecai,aamas,2010,2008,4,86
ecai,aamas,2010,2009,5,87
ecai,aamas,2013,2006,1,2
ecai,aamas,2014,2012,1,4
