from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ecai,acl,1992,1989,1,8
ecai,acl,1996,1983,1,3
ecai,acl,1996,1994,2,37
ecai,acl,1996,1995,1,28
ecai,acl,1998,1995,1,13
ecai,acl,1999,1988,1,5
ecai,acl,2000,1993,1,8
ecai,acl,2000,1998,1,29
ecai,acl,2002,1991,1,12
ecai,acl,2002,1996,1,17
ecai,acl,2004,2000,1,56
ecai,acl,2004,2001,1,72
ecai,acl,2004,2002,3,70
ecai,acl,2006,1998,1,30
ecai,acl,2006,1999,1,39
ecai,acl,2006,2000,2,33
ecai,acl,2006,2002,2,45
ecai,acl,2006,2004,2,75
ecai,acl,2006,2005,4,73
ecai,acl,2008,1995,2,20
ecai,acl,2008,1999,2,32
ecai,acl,2008,2001,1,37
ecai,acl,2008,2002,3,41
ecai,acl,2008,2003,4,54
ecai,acl,2008,2005,2,75
ecai,acl,2008,2007,7,75
ecai,acl,2010,2002,1,28
ecai,acl,2010,2004,5,39
ecai,acl,2010,2007,2,78
ecai,acl,2010,2008,3,86
ecai,acl,2011,1989,1,2
