from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ecai,ecai,1978,1976,1,1
ecai,ecai,1990,1988,1,15
ecai,ecai,1992,1988,1,9
ecai,ecai,1992,1990,2,6
ecai,ecai,1994,1986,1,10
ecai,ecai,1994,1990,2,30
ecai,ecai,1994,1992,3,31
ecai,ecai,1996,1990,1,7
ecai,ecai,1996,1992,2,20
ecai,ecai,1996,1994,2,37
ecai,ecai,1997,1995,1,20
ecai,ecai,1998,1988,1,3
ecai,ecai,1998,1992,2,6
ecai,ecai,1998,1994,2,8
ecai,ecai,1999,1990,1,10
ecai,ecai,1999,1992,1,13
ecai,ecai,1999,1996,2,38
ecai,ecai,1999,1998,1,37
ecai,ecai,2000,1992,1,12
ecai,ecai,2000,1994,1,16
ecai,ecai,2000,1997,1,39
ecai,ecai,2000,1998,2,29
ecai,ecai,2000,1999,1,35
ecai,ecai,2002,1988,1,5
ecai,ecai,2002,1992,1,9
ecai,ecai,2002,1994,2,16
ecai,ecai,2002,1996,2,17
ecai,ecai,2002,1998,2,26
ecai,ecai,2002,1999,1,24
ecai,ecai,2002,2000,3,23
ecai,ecai,2004,1988,1,6
ecai,ecai,2004,1990,1,10
ecai,ecai,2004,1992,1,18
ecai,ecai,2004,1997,1,40
ecai,ecai,2004,1998,2,45
ecai,ecai,2004,2000,3,56
ecai,ecai,2004,2002,6,70
ecai,ecai,2005,1996,1,2
ecai,ecai,2006,1988,1,7
ecai,ecai,2006,1992,1,17
ecai,ecai,2006,1996,1,33
ecai,ecai,2006,2000,4,33
ecai,ecai,2006,2002,4,45
ecai,ecai,2006,2004,9,75
ecai,ecai,2008,1988,1,11
ecai,ecai,2008,1992,2,12
ecai,ecai,2008,1996,1,23
ecai,ecai,2008,1998,3,34
ecai,ecai,2008,1999,1,32
ecai,ecai,2008,2000,1,25
ecai,ecai,2008,2002,2,41
ecai,ecai,2008,2004,6,53
ecai,ecai,2008,2006,4,86
ecai,ecai,2010,1992,1,9
ecai,ecai,2010,1996,1,15
ecai,ecai,2010,1998,1,19
ecai,ecai,2010,2000,2,22
ecai,ecai,2010,2004,2,39
ecai,ecai,2010,2006,4,57
ecai,ecai,2010,2008,2,86
ecai,ecai,2013,2004,1,3
