from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ecai,ml,1992,1987,1,5
ecai,ml,1992,1988,1,9
ecai,ml,1994,1989,1,21
ecai,ml,1994,1990,1,30
ecai,ml,1996,1988,1,4
ecai,ml,1996,1992,1,20
ecai,ml,1997,1986,1,3
ecai,ml,1997,1989,1,2
ecai,ml,1997,1990,1,8
ecai,ml,1997,1992,2,4
ecai,ml,1997,1993,1,10
ecai,ml,1997,1995,1,20
ecai,ml,1997,1996,1,7
ecai,ml,1998,1986,1,3
ecai,ml,1998,1991,3,8
ecai,ml,1998,1993,3,12
ecai,ml,1998,1996,1,10
ecai,ml,1999,1986,2,9
ecai,ml,1999,1989,1,2
ecai,ml,1999,1990,2,10
ecai,ml,1999,1991,1,8
ecai,ml,1999,1992,1,13
ecai,ml,2000,1986,1,4
ecai,ml,2000,1987,1,7
ecai,ml,2000,1996,1,25
ecai,ml,2000,1999,1,35
ecai,ml,2002,1987,1,10
ecai,ml,2002,1993,4,15
ecai,ml,2002,1996,1,17
ecai,ml,2002,1999,1,24
ecai,ml,2002,2001,1,27
ecai,ml,2004,1987,1,10
ecai,ml,2004,1991,1,20
ecai,ml,2004,1992,1,18
ecai,ml,2004,1993,1,26
ecai,ml,2004,1994,1,30
ecai,ml,2004,1998,1,45
ecai,ml,2004,1999,1,42
ecai,ml,2004,2000,1,56
ecai,ml,2006,1996,1,33
ecai,ml,2006,2000,1,33
ecai,ml,2006,2004,1,75
ecai,ml,2006,2005,1,73
ecai,ml,2008,1986,1,3
ecai,ml,2008,1990,1,7
ecai,ml,2008,1994,1,17
ecai,ml,2008,1996,1,23
ecai,ml,2008,1998,1,34
ecai,ml,2008,1999,1,32
ecai,ml,2008,2000,1,25
ecai,ml,2008,2006,1,86
ecai,ml,2010,2002,1,28
ecai,ml,2010,2006,1,57
ecai,ml,2013,1995,1,1
