from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ecai,nips,1996,1990,1,7
ecai,nips,1996,1995,1,28
ecai,nips,2000,1999,1,35
ecai,nips,2002,1994,1,16
ecai,nips,2002,1998,1,26
ecai,nips,2003,2001,1,1
ecai,nips,2004,1989,2,13
ecai,nips,2004,1990,1,10
ecai,nips,2004,1992,1,18
ecai,nips,2004,1995,1,26
ecai,nips,2004,1999,1,42
ecai,nips,2004,2001,2,72
ecai,nips,2004,2003,1,65
ecai,nips,2005,1997,1,1
ecai,nips,2006,1999,1,39
ecai,nips,2006,2001,1,41
ecai,nips,2006,2002,2,45
ecai,nips,2006,2004,1,75
ecai,nips,2008,1995,1,20
ecai,nips,2008,1997,1,24
ecai,nips,2008,1998,1,34
ecai,nips,2008,2000,1,25
ecai,nips,2008,2001,1,37
ecai,nips,2008,2004,1,53
ecai,nips,2010,1995,1,12
ecai,nips,2010,1999,4,22
ecai,nips,2010,2001,2,38
ecai,nips,2010,2002,2,28
ecai,nips,2010,2003,1,50
ecai,nips,2010,2005,1,72
ecai,nips,2010,2006,1,57
ecai,nips,2010,2008,3,86
ecai,nips,2010,2009,1,87
ecai,nips,2013,1997,1,1
