from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ecai,uai,1989,1986,1,3
ecai,uai,1994,1993,1,21
ecai,uai,1997,1995,1,20
ecai,uai,2000,1987,1,7
ecai,uai,2002,1994,1,16
ecai,uai,2002,1998,1,26
ecai,uai,2003,1999,1,1
ecai,uai,2004,1987,1,10
ecai,uai,2004,1991,1,20
ecai,uai,2004,1993,2,26
ecai,uai,2004,1995,1,26
ecai,uai,2004,1996,1,28
ecai,uai,2004,1997,1,40
ecai,uai,2004,1999,1,42
ecai,uai,2004,2000,2,56
ecai,uai,2004,2001,1,72
ecai,uai,2004,2002,2,70
ecai,uai,2006,1993,1,12
ecai,uai,2006,1995,1,17
ecai,uai,2006,1996,1,33
ecai,uai,2006,1997,2,25
ecai,uai,2006,1998,4,30
ecai,uai,2006,2001,2,41
ecai,uai,2006,2003,1,55
ecai,uai,2006,2004,2,75
ecai,uai,2008,1994,2,17
ecai,uai,2008,2002,1,41
ecai,uai,2008,2004,1,53
ecai,uai,2010,1998,1,19
ecai,uai,2010,1999,1,22
ecai,uai,2010,2001,1,38
ecai,uai,2010,2009,1,87
