from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
eccv,aaai,1990,1982,1,6
eccv,aaai,1990,1984,1,18
eccv,aaai,1990,1987,1,30
eccv,aaai,1994,1993,1,113
eccv,aaai,1996,1984,1,15
eccv,aaai,1996,1987,1,37
eccv,aaai,1996,1992,1,105
eccv,aaai,1996,1993,1,103
eccv,aaai,1998,1982,1,5
eccv,aaai,1998,1994,1,96
eccv,aaai,2000,1998,1,178
eccv,aaai,2002,1982,1,15
eccv,aaai,2002,1987,1,39
eccv,aaai,2002,1988,2,47
eccv,aaai,2002,1997,1,187
eccv,aaai,2002,1998,1,243
eccv,aaai,2004,1999,1,202
eccv,aaai,2004,2002,2,274
eccv,aaai,2006,1982,1,8
eccv,aaai,2006,1983,1,6
eccv,aaai,2006,1991,1,39
eccv,aaai,2006,1999,1,124
eccv,aaai,2006,2004,1,307
eccv,aaai,2008,2002,3,136
eccv,aaai,2008,2004,1,224
eccv,aaai,2008,2005,1,286
eccv,aaai,2008,2006,3,352
eccv,aaai,2010,1998,1,88
eccv,aaai,2010,2000,1,105
eccv,aaai,2010,2006,1,375
eccv,aaai,2010,2007,1,428
eccv,aaai,2010,2008,5,548
eccv,aaai,2012,1982,1,11
eccv,aaai,2012,1999,1,83
eccv,aaai,2012,2008,1,443
eccv,aaai,2012,2010,4,656
eccv,aaai,2012,2011,2,685
eccv,aaai,2014,1983,1,8
eccv,aaai,2014,2002,1,100
eccv,aaai,2014,2006,2,296
eccv,aaai,2014,2008,3,449
eccv,aaai,2014,2010,3,584
eccv,aaai,2014,2011,3,697
eccv,aaai,2014,2012,2,925
eccv,aaai,2014,2013,3,956
eccv,aaai,2015,2002,1,2
