from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
eccv,accv,1996,1995,2,161
eccv,accv,2000,1995,1,97
eccv,accv,2000,1999,1,154
eccv,accv,2002,1995,2,136
eccv,accv,2002,1998,1,243
eccv,accv,2002,2000,1,278
eccv,accv,2004,1995,2,106
eccv,accv,2004,1998,1,172
eccv,accv,2004,1999,1,202
eccv,accv,2004,2000,1,202
eccv,accv,2004,2002,2,274
eccv,accv,2006,1995,2,73
eccv,accv,2006,1998,1,119
eccv,accv,2006,2000,1,125
eccv,accv,2006,2004,2,307
eccv,accv,2008,2000,1,90
eccv,accv,2008,2006,4,352
eccv,accv,2008,2007,7,439
eccv,accv,2010,1995,1,38
eccv,accv,2010,2004,2,243
eccv,accv,2010,2006,3,375
eccv,accv,2010,2007,4,428
eccv,accv,2010,2009,6,603
eccv,accv,2012,2004,1,201
eccv,accv,2012,2006,2,319
eccv,accv,2012,2007,5,408
eccv,accv,2012,2009,8,582
eccv,accv,2012,2010,17,656
eccv,accv,2014,1995,1,55
eccv,accv,2014,2004,2,200
eccv,accv,2014,2006,1,296
eccv,accv,2014,2007,1,344
eccv,accv,2014,2009,7,505
eccv,accv,2014,2010,13,584
eccv,accv,2014,2012,27,925
eccv,accv,2014,2013,2,956
