from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
eccv,cvpr,1990,1982,1,6
eccv,cvpr,1990,1985,2,14
eccv,cvpr,1990,1986,2,29
eccv,cvpr,1990,1988,3,49
eccv,cvpr,1990,1989,8,48
eccv,cvpr,1992,1985,1,21
eccv,cvpr,1992,1986,2,31
eccv,cvpr,1992,1988,4,45
eccv,cvpr,1992,1989,5,58
eccv,cvpr,1992,1991,23,88
eccv,cvpr,1994,1986,2,26
eccv,cvpr,1994,1988,2,32
eccv,cvpr,1994,1989,2,39
eccv,cvpr,1994,1991,16,59
eccv,cvpr,1994,1992,10,116
eccv,cvpr,1994,1993,21,113
eccv,cvpr,1996,1988,3,36
eccv,cvpr,1996,1989,5,26
eccv,cvpr,1996,1991,10,56
eccv,cvpr,1996,1992,10,105
eccv,cvpr,1996,1993,16,103
eccv,cvpr,1996,1994,25,157
eccv,cvpr,1998,1983,1,11
eccv,cvpr,1998,1986,2,16
eccv,cvpr,1998,1988,1,34
eccv,cvpr,1998,1989,1,26
eccv,cvpr,1998,1991,5,53
eccv,cvpr,1998,1992,5,65
eccv,cvpr,1998,1993,3,63
eccv,cvpr,1998,1994,11,96
eccv,cvpr,1998,1996,11,154
eccv,cvpr,1998,1997,38,136
eccv,cvpr,2000,1986,1,19
eccv,cvpr,2000,1988,1,27
eccv,cvpr,2000,1991,3,41
eccv,cvpr,2000,1992,1,53
eccv,cvpr,2000,1993,9,50
eccv,cvpr,2000,1994,6,82
eccv,cvpr,2000,1996,16,112
eccv,cvpr,2000,1997,28,120
eccv,cvpr,2000,1998,21,178
eccv,cvpr,2000,1999,17,154
eccv,cvpr,2002,1985,1,26
eccv,cvpr,2002,1986,1,27
eccv,cvpr,2002,1988,4,47
eccv,cvpr,2002,1989,3,37
eccv,cvpr,2002,1991,6,59
eccv,cvpr,2002,1992,9,77
eccv,cvpr,2002,1993,10,72
eccv,cvpr,2002,1994,16,118
eccv,cvpr,2002,1996,13,156
eccv,cvpr,2002,1997,42,187
eccv,cvpr,2002,1998,28,243
eccv,cvpr,2002,1999,27,250
eccv,cvpr,2002,2000,59,278
eccv,cvpr,2002,2001,45,251
eccv,cvpr,2003,1998,1,1
eccv,cvpr,2003,2001,1,4
eccv,cvpr,2004,1982,1,11
eccv,cvpr,2004,1983,1,11
eccv,cvpr,2004,1988,1,16
eccv,cvpr,2004,1989,2,34
eccv,cvpr,2004,1991,1,33
eccv,cvpr,2004,1992,2,55
eccv,cvpr,2004,1993,5,77
eccv,cvpr,2004,1994,8,76
eccv,cvpr,2004,1996,10,108
eccv,cvpr,2004,1997,23,135
eccv,cvpr,2004,1998,10,172
eccv,cvpr,2004,1999,19,202
eccv,cvpr,2004,2000,31,202
eccv,cvpr,2004,2001,51,283
eccv,cvpr,2004,2003,55,248
eccv,cvpr,2005,2004,1,1
eccv,cvpr,2006,1986,1,11
eccv,cvpr,2006,1989,2,31
eccv,cvpr,2006,1991,5,39
eccv,cvpr,2006,1992,6,39
eccv,cvpr,2006,1993,5,50
eccv,cvpr,2006,1994,6,52
eccv,cvpr,2006,1996,4,67
eccv,cvpr,2006,1997,17,88
eccv,cvpr,2006,1998,10,119
eccv,cvpr,2006,1999,8,124
eccv,cvpr,2006,2000,20,125
eccv,cvpr,2006,2001,34,157
eccv,cvpr,2006,2003,46,274
eccv,cvpr,2006,2004,81,307
eccv,cvpr,2006,2005,83,269
eccv,cvpr,2007,1991,1,2
eccv,cvpr,2007,2000,2,11
eccv,cvpr,2007,2001,2,9
eccv,cvpr,2007,2003,3,5
eccv,cvpr,2007,2004,5,14
eccv,cvpr,2007,2005,2,3
eccv,cvpr,2008,1986,1,13
eccv,cvpr,2008,1988,2,22
