from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
eccv,eccv,1992,1990,14,98
eccv,eccv,1994,1990,3,53
eccv,eccv,1994,1992,27,116
eccv,eccv,1996,1990,4,52
eccv,eccv,1996,1992,22,105
eccv,eccv,1996,1994,40,157
eccv,eccv,1996,1995,1,161
eccv,eccv,1998,1990,3,36
eccv,eccv,1998,1992,11,65
eccv,eccv,1998,1994,14,96
eccv,eccv,1998,1996,36,154
eccv,eccv,2000,1990,2,24
eccv,eccv,2000,1992,8,53
eccv,eccv,2000,1994,19,82
eccv,eccv,2000,1996,17,112
eccv,eccv,2000,1998,32,178
eccv,eccv,2000,1999,1,154
eccv,eccv,2002,1990,2,54
eccv,eccv,2002,1992,13,77
eccv,eccv,2002,1994,16,118
eccv,eccv,2002,1996,27,156
eccv,eccv,2002,1998,22,243
eccv,eccv,2002,2000,35,278
eccv,eccv,2003,2002,1,2
eccv,eccv,2004,1990,2,28
eccv,eccv,2004,1992,6,55
eccv,eccv,2004,1994,5,76
eccv,eccv,2004,1996,8,108
eccv,eccv,2004,1998,15,172
eccv,eccv,2004,1999,1,202
eccv,eccv,2004,2000,18,202
eccv,eccv,2004,2002,63,274
eccv,eccv,2004,2003,1,248
eccv,eccv,2005,1992,1,1
eccv,eccv,2006,1992,4,39
eccv,eccv,2006,1994,5,52
eccv,eccv,2006,1996,13,67
eccv,eccv,2006,1998,13,119
eccv,eccv,2006,2000,9,125
eccv,eccv,2006,2002,38,164
eccv,eccv,2006,2004,51,307
eccv,eccv,2007,1996,1,1
eccv,eccv,2007,2002,5,8
eccv,eccv,2007,2004,2,14
eccv,eccv,2008,1992,4,24
eccv,eccv,2008,1994,2,34
eccv,eccv,2008,1996,4,52
eccv,eccv,2008,1998,7,105
eccv,eccv,2008,2000,9,90
eccv,eccv,2008,2002,32,136
eccv,eccv,2008,2003,1,208
eccv,eccv,2008,2004,28,224
eccv,eccv,2008,2006,50,352
eccv,eccv,2008,2007,1,439
eccv,eccv,2009,2002,1,1
eccv,eccv,2010,1992,5,37
eccv,eccv,2010,1994,2,42
eccv,eccv,2010,1996,9,55
eccv,eccv,2010,1998,6,88
eccv,eccv,2010,2000,12,105
eccv,eccv,2010,2002,32,127
eccv,eccv,2010,2004,26,243
eccv,eccv,2010,2006,44,375
eccv,eccv,2010,2007,1,428
eccv,eccv,2010,2008,109,548
eccv,eccv,2010,2009,1,603
eccv,eccv,2011,2002,1,1
eccv,eccv,2011,2008,1,2
eccv,eccv,2012,1990,1,13
eccv,eccv,2012,1992,2,28
eccv,eccv,2012,1994,5,45
eccv,eccv,2012,1996,4,46
eccv,eccv,2012,1998,4,87
eccv,eccv,2012,2000,6,89
eccv,eccv,2012,2002,22,110
eccv,eccv,2012,2004,22,201
eccv,eccv,2012,2006,29,319
eccv,eccv,2012,2008,69,443
eccv,eccv,2012,2010,138,656
eccv,eccv,2012,2011,1,685
eccv,eccv,2013,2004,1,7
eccv,eccv,2013,2006,1,12
eccv,eccv,2013,2008,1,8
eccv,eccv,2013,2010,2,16
eccv,eccv,2013,2012,2,13
eccv,eccv,2014,1992,1,33
eccv,eccv,2014,1994,3,26
eccv,eccv,2014,1996,4,48
eccv,eccv,2014,1998,2,69
eccv,eccv,2014,2000,5,77
eccv,eccv,2014,2002,15,100
eccv,eccv,2014,2004,20,200
eccv,eccv,2014,2006,26,296
eccv,eccv,2014,2008,62,449
eccv,eccv,2014,2009,1,505
eccv,eccv,2014,2010,108,584
eccv,eccv,2014,2011,1,697
eccv,eccv,2014,2012,165,925
eccv,eccv,2014,2013,6,956
eccv,eccv,2015,2006,1,2
eccv,eccv,2015,2010,2,7
eccv,eccv,2015,2012,2,8
