from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
eccv,icann,2000,1996,1,112
eccv,icann,2000,1998,2,178
eccv,icann,2000,1999,1,154
eccv,icann,2002,1995,1,136
eccv,icann,2002,1996,1,156
eccv,icann,2002,1998,1,243
eccv,icann,2004,1997,1,135
eccv,icann,2004,1998,1,172
eccv,icann,2004,1999,1,202
eccv,icann,2004,2002,1,274
eccv,icann,2006,1993,1,50
eccv,icann,2006,1999,1,124
eccv,icann,2008,2002,1,136
eccv,icann,2008,2003,1,208
eccv,icann,2008,2005,1,286
eccv,icann,2008,2006,1,352
eccv,icann,2010,1996,1,55
eccv,icann,2012,1999,1,83
eccv,icann,2012,2006,1,319
eccv,icann,2012,2007,1,408
eccv,icann,2012,2011,1,685
eccv,icann,2014,1997,2,52
eccv,icann,2014,2013,1,956
