from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
eccv,icra,1990,1986,4,29
eccv,icra,1990,1987,2,30
eccv,icra,1990,1988,2,49
eccv,icra,1990,1989,1,48
eccv,icra,1992,1984,1,19
eccv,icra,1992,1986,1,31
eccv,icra,1992,1987,2,37
eccv,icra,1992,1989,2,58
eccv,icra,1992,1991,3,88
eccv,icra,1994,1987,1,32
eccv,icra,1994,1988,1,32
eccv,icra,1994,1989,1,39
eccv,icra,1994,1990,1,53
eccv,icra,1994,1991,4,59
eccv,icra,1994,1992,3,116
eccv,icra,1994,1993,1,113
eccv,icra,1996,1987,1,37
eccv,icra,1996,1988,1,36
eccv,icra,1996,1991,1,56
eccv,icra,1996,1993,1,103
eccv,icra,1996,1994,1,157
eccv,icra,1996,1995,1,161
eccv,icra,1998,1987,1,29
eccv,icra,1998,1991,2,53
eccv,icra,1998,1997,2,136
eccv,icra,2000,1991,1,41
eccv,icra,2000,1993,1,50
eccv,icra,2000,1994,2,82
eccv,icra,2000,1996,2,112
eccv,icra,2000,1997,2,120
eccv,icra,2000,1999,1,154
eccv,icra,2002,1984,1,16
eccv,icra,2002,1985,2,26
eccv,icra,2002,1986,1,27
eccv,icra,2002,1987,1,39
eccv,icra,2002,1991,1,59
eccv,icra,2002,1994,4,118
eccv,icra,2002,1995,1,136
eccv,icra,2002,1999,3,250
eccv,icra,2002,2000,2,278
eccv,icra,2002,2001,1,251
eccv,icra,2004,1991,2,33
eccv,icra,2004,1999,1,202
eccv,icra,2004,2000,2,202
eccv,icra,2004,2001,2,283
eccv,icra,2004,2002,2,274
eccv,icra,2004,2003,2,248
eccv,icra,2006,1986,1,11
eccv,icra,2006,1991,1,39
eccv,icra,2006,1993,1,50
eccv,icra,2006,1999,1,124
eccv,icra,2006,2003,3,274
eccv,icra,2006,2004,2,307
eccv,icra,2006,2005,1,269
eccv,icra,2008,1985,1,10
eccv,icra,2008,1991,1,21
eccv,icra,2008,1996,1,52
eccv,icra,2008,2003,1,208
eccv,icra,2008,2006,1,352
eccv,icra,2008,2007,2,439
eccv,icra,2010,1988,1,14
eccv,icra,2010,1991,1,27
eccv,icra,2010,2001,1,123
eccv,icra,2010,2004,1,243
eccv,icra,2010,2006,1,375
eccv,icra,2010,2007,1,428
eccv,icra,2010,2009,4,603
eccv,icra,2012,1992,1,28
eccv,icra,2012,2000,1,89
eccv,icra,2012,2004,1,201
eccv,icra,2012,2005,1,265
eccv,icra,2012,2006,1,319
eccv,icra,2012,2008,1,443
eccv,icra,2012,2009,5,582
eccv,icra,2012,2010,5,656
eccv,icra,2012,2011,11,685
eccv,icra,2013,2009,1,21
eccv,icra,2014,1985,2,9
eccv,icra,2014,1987,1,13
eccv,icra,2014,1991,1,20
eccv,icra,2014,1995,1,55
eccv,icra,2014,1996,1,48
eccv,icra,2014,1997,1,52
eccv,icra,2014,2001,2,123
eccv,icra,2014,2002,1,100
eccv,icra,2014,2003,2,168
eccv,icra,2014,2004,1,200
eccv,icra,2014,2005,1,232
eccv,icra,2014,2007,2,344
eccv,icra,2014,2008,4,449
eccv,icra,2014,2009,3,505
eccv,icra,2014,2010,6,584
eccv,icra,2014,2011,11,697
eccv,icra,2014,2012,13,925
eccv,icra,2014,2013,17,956
