from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
eccv,ijcai,1990,1981,2,14
eccv,ijcai,1990,1983,1,9
eccv,ijcai,1990,1988,1,49
eccv,ijcai,1992,1977,2,7
eccv,ijcai,1992,1980,1,7
eccv,ijcai,1992,1981,2,15
eccv,ijcai,1992,1983,1,15
eccv,ijcai,1992,1987,1,37
eccv,ijcai,1992,1989,3,58
eccv,ijcai,1992,1991,1,88
eccv,ijcai,1994,1981,2,9
eccv,ijcai,1994,1983,1,10
eccv,ijcai,1994,1989,2,39
eccv,ijcai,1994,1991,2,59
eccv,ijcai,1996,1977,2,7
eccv,ijcai,1996,1979,1,4
eccv,ijcai,1996,1981,5,15
eccv,ijcai,1996,1983,2,10
eccv,ijcai,1996,1991,1,56
eccv,ijcai,1996,1993,3,103
eccv,ijcai,1996,1995,1,161
eccv,ijcai,1998,1973,1,2
eccv,ijcai,1998,1976,1,9
eccv,ijcai,1998,1977,1,5
eccv,ijcai,1998,1981,2,7
eccv,ijcai,1998,1983,2,11
eccv,ijcai,1998,1987,1,29
eccv,ijcai,1998,1997,1,136
eccv,ijcai,2000,1977,1,5
eccv,ijcai,2000,1981,2,11
eccv,ijcai,2000,1983,1,12
eccv,ijcai,2000,1985,1,16
eccv,ijcai,2000,1991,1,41
eccv,ijcai,2002,1977,1,7
eccv,ijcai,2002,1981,3,21
eccv,ijcai,2002,1983,2,14
eccv,ijcai,2002,1985,1,26
eccv,ijcai,2002,1991,1,59
eccv,ijcai,2002,1995,1,136
eccv,ijcai,2002,1997,1,187
eccv,ijcai,2004,1977,2,9
eccv,ijcai,2004,1981,1,16
eccv,ijcai,2004,1983,2,11
eccv,ijcai,2004,1987,1,26
eccv,ijcai,2004,1999,1,202
eccv,ijcai,2006,1977,2,6
eccv,ijcai,2006,1979,1,5
eccv,ijcai,2006,1981,3,7
eccv,ijcai,2006,1997,1,88
eccv,ijcai,2006,2003,3,274
eccv,ijcai,2008,1981,1,6
eccv,ijcai,2008,1985,1,10
eccv,ijcai,2008,1993,1,33
eccv,ijcai,2008,1995,2,48
eccv,ijcai,2008,2003,2,208
eccv,ijcai,2008,2005,2,286
eccv,ijcai,2008,2007,1,439
eccv,ijcai,2010,1977,1,6
eccv,ijcai,2010,1979,1,4
eccv,ijcai,2010,1981,1,10
eccv,ijcai,2010,1983,1,10
eccv,ijcai,2010,1985,1,10
eccv,ijcai,2010,1997,1,62
eccv,ijcai,2010,1999,1,83
eccv,ijcai,2010,2003,1,192
eccv,ijcai,2010,2005,2,331
eccv,ijcai,2010,2007,1,428
eccv,ijcai,2010,2009,1,603
eccv,ijcai,2012,1981,1,11
eccv,ijcai,2012,1993,1,23
eccv,ijcai,2012,1997,1,64
eccv,ijcai,2012,2003,1,187
eccv,ijcai,2012,2005,2,265
eccv,ijcai,2012,2007,4,408
eccv,ijcai,2012,2011,3,685
eccv,ijcai,2014,1977,1,8
eccv,ijcai,2014,1981,1,7
eccv,ijcai,2014,1993,1,26
eccv,ijcai,2014,2003,1,168
eccv,ijcai,2014,2005,1,232
eccv,ijcai,2014,2007,1,344
eccv,ijcai,2014,2009,2,505
eccv,ijcai,2014,2011,1,697
eccv,ijcai,2014,2013,3,956
