from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
eccv,ml,1996,1987,1,37
eccv,ml,1998,1995,1,123
eccv,ml,2000,1995,2,97
eccv,ml,2000,1998,1,178
eccv,ml,2002,1992,1,77
eccv,ml,2002,1997,1,187
eccv,ml,2002,1998,1,243
eccv,ml,2004,1986,2,24
eccv,ml,2004,1989,1,34
eccv,ml,2004,1990,1,28
eccv,ml,2004,1993,1,77
eccv,ml,2004,1995,1,106
eccv,ml,2004,1997,1,135
eccv,ml,2004,1999,1,202
eccv,ml,2004,2000,2,202
eccv,ml,2004,2003,1,248
eccv,ml,2006,1986,1,11
eccv,ml,2006,1990,1,25
eccv,ml,2006,1999,2,124
eccv,ml,2006,2001,2,157
eccv,ml,2007,1986,1,1
eccv,ml,2008,1986,1,13
eccv,ml,2008,1995,1,48
eccv,ml,2008,1999,1,69
eccv,ml,2008,2001,1,132
eccv,ml,2008,2002,2,136
eccv,ml,2008,2003,2,208
eccv,ml,2008,2004,1,224
eccv,ml,2008,2006,2,352
eccv,ml,2010,1986,1,8
eccv,ml,2010,1997,1,62
eccv,ml,2010,1999,1,83
eccv,ml,2010,2000,1,105
eccv,ml,2010,2001,1,123
eccv,ml,2010,2002,3,127
eccv,ml,2010,2003,1,192
eccv,ml,2010,2006,2,375
eccv,ml,2010,2007,1,428
eccv,ml,2010,2009,4,603
eccv,ml,2012,1995,1,39
eccv,ml,2012,1996,1,46
eccv,ml,2012,1998,1,87
eccv,ml,2012,1999,1,83
eccv,ml,2012,2001,1,126
eccv,ml,2012,2002,3,110
eccv,ml,2012,2003,1,187
eccv,ml,2012,2004,1,201
eccv,ml,2012,2006,2,319
eccv,ml,2012,2007,3,408
eccv,ml,2012,2009,1,582
eccv,ml,2013,2010,1,16
eccv,ml,2014,1986,1,11
eccv,ml,2014,1990,1,19
eccv,ml,2014,1995,1,55
eccv,ml,2014,2002,3,100
eccv,ml,2014,2004,1,200
eccv,ml,2014,2006,2,296
eccv,ml,2014,2007,2,344
eccv,ml,2014,2008,1,449
eccv,ml,2014,2009,4,505
eccv,ml,2014,2010,1,584
eccv,ml,2014,2012,2,925
