from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
emnlp,aaai,2000,1993,1,18
emnlp,aaai,2000,1994,2,21
emnlp,aaai,2000,1996,1,26
emnlp,aaai,2000,1997,1,16
emnlp,aaai,2000,1998,1,26
emnlp,aaai,2000,1999,3,22
emnlp,aaai,2001,2000,1,3
emnlp,aaai,2002,1994,1,16
emnlp,aaai,2002,1996,2,29
emnlp,aaai,2002,1997,3,29
emnlp,aaai,2002,1998,1,33
emnlp,aaai,2002,1999,2,36
emnlp,aaai,2002,2000,2,52
emnlp,aaai,2003,1993,1,8
emnlp,aaai,2003,1994,1,8
emnlp,aaai,2003,1996,2,9
emnlp,aaai,2003,1997,2,12
emnlp,aaai,2003,1998,1,14
emnlp,aaai,2003,1999,1,22
emnlp,aaai,2003,2000,2,24
emnlp,aaai,2004,2000,3,23
emnlp,aaai,2005,1992,1,26
emnlp,aaai,2005,1996,2,26
emnlp,aaai,2005,1997,1,38
emnlp,aaai,2005,1998,3,55
emnlp,aaai,2005,1999,2,46
emnlp,aaai,2005,2000,7,76
emnlp,aaai,2005,2002,1,105
emnlp,aaai,2005,2004,1,161
emnlp,aaai,2006,1993,1,12
emnlp,aaai,2006,1996,1,20
emnlp,aaai,2006,1997,1,21
emnlp,aaai,2006,1998,1,23
emnlp,aaai,2006,1999,1,26
emnlp,aaai,2006,2000,1,25
emnlp,aaai,2006,2002,1,61
emnlp,aaai,2006,2004,2,100
emnlp,aaai,2006,2005,2,101
emnlp,aaai,2007,1996,2,15
emnlp,aaai,2007,1997,1,17
emnlp,aaai,2007,2000,2,40
emnlp,aaai,2007,2005,5,92
emnlp,aaai,2007,2006,2,117
emnlp,aaai,2008,1993,1,16
emnlp,aaai,2008,1994,1,22
emnlp,aaai,2008,1997,1,20
emnlp,aaai,2008,1998,2,42
emnlp,aaai,2008,1999,2,43
emnlp,aaai,2008,2000,3,49
emnlp,aaai,2008,2004,1,121
emnlp,aaai,2008,2005,4,133
emnlp,aaai,2008,2006,5,157
emnlp,aaai,2008,2007,4,153
emnlp,aaai,2009,1994,1,12
emnlp,aaai,2009,1996,1,31
emnlp,aaai,2009,1997,1,24
emnlp,aaai,2009,1998,1,40
emnlp,aaai,2009,1999,1,40
emnlp,aaai,2009,2000,3,56
emnlp,aaai,2009,2002,1,83
emnlp,aaai,2009,2004,2,161
emnlp,aaai,2009,2005,4,152
emnlp,aaai,2009,2006,7,188
emnlp,aaai,2009,2007,4,210
emnlp,aaai,2009,2008,6,273
emnlp,aaai,2010,1996,1,23
emnlp,aaai,2010,1997,1,23
emnlp,aaai,2010,1998,2,26
emnlp,aaai,2010,2000,1,37
emnlp,aaai,2010,2004,4,85
emnlp,aaai,2010,2005,5,106
emnlp,aaai,2010,2006,3,144
emnlp,aaai,2010,2007,3,139
emnlp,aaai,2010,2008,2,170
emnlp,aaai,2011,1982,1,3
emnlp,aaai,2011,1992,1,13
emnlp,aaai,2011,1993,1,14
emnlp,aaai,2011,1994,1,14
emnlp,aaai,2011,1996,2,31
emnlp,aaai,2011,1997,1,19
emnlp,aaai,2011,1998,1,28
emnlp,aaai,2011,1999,1,34
emnlp,aaai,2011,2000,3,38
emnlp,aaai,2011,2002,1,71
emnlp,aaai,2011,2003,1,93
emnlp,aaai,2011,2004,1,101
emnlp,aaai,2011,2005,1,116
emnlp,aaai,2011,2006,2,162
emnlp,aaai,2011,2007,1,180
emnlp,aaai,2011,2008,4,189
emnlp,aaai,2011,2010,3,292
emnlp,aaai,2012,1993,1,11
emnlp,aaai,2012,1994,1,9
emnlp,aaai,2012,1996,1,24
emnlp,aaai,2012,1999,1,27
emnlp,aaai,2012,2000,2,47
emnlp,aaai,2012,2004,2,93
emnlp,aaai,2012,2005,1,108
emnlp,aaai,2012,2006,7,139
emnlp,aaai,2012,2007,3,161
emnlp,aaai,2012,2008,2,170
emnlp,aaai,2012,2009,1,200
emnlp,aaai,2012,2010,4,251
emnlp,aaai,2012,2011,4,260
emnlp,aaai,2013,1992,1,13
emnlp,aaai,2013,1994,3,7
emnlp,aaai,2013,1996,2,13
emnlp,aaai,2013,1999,1,21
emnlp,aaai,2013,2000,2,28
emnlp,aaai,2013,2002,1,43
emnlp,aaai,2013,2004,1,87
emnlp,aaai,2013,2005,2,78
emnlp,aaai,2013,2006,3,117
emnlp,aaai,2013,2007,2,108
emnlp,aaai,2013,2008,3,144
emnlp,aaai,2013,2010,3,226
emnlp,aaai,2013,2011,1,211
emnlp,aaai,2013,2012,6,264
emnlp,aaai,2014,1992,1,13
emnlp,aaai,2014,1994,1,14
emnlp,aaai,2014,1996,2,30
emnlp,aaai,2014,1998,1,25
emnlp,aaai,2014,1999,1,23
emnlp,aaai,2014,2000,1,40
emnlp,aaai,2014,2004,1,70
emnlp,aaai,2014,2006,3,109
emnlp,aaai,2014,2007,1,116
emnlp,aaai,2014,2008,5,174
emnlp,aaai,2014,2010,3,232
emnlp,aaai,2014,2011,3,210
emnlp,aaai,2014,2012,5,298
emnlp,aaai,2014,2013,2,300
emnlp,aaai,2015,2010,1,8
