from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
emnlp,acl,2000,1987,1,3
emnlp,acl,2000,1991,1,3
emnlp,acl,2000,1992,2,10
emnlp,acl,2000,1993,2,18
emnlp,acl,2000,1994,1,21
emnlp,acl,2000,1995,3,14
emnlp,acl,2000,1996,4,26
emnlp,acl,2000,1997,2,16
emnlp,acl,2000,1998,4,26
emnlp,acl,2000,1999,5,22
emnlp,acl,2001,1995,1,3
emnlp,acl,2002,1983,1,2
emnlp,acl,2002,1990,2,6
emnlp,acl,2002,1992,1,8
emnlp,acl,2002,1993,2,11
emnlp,acl,2002,1994,1,16
emnlp,acl,2002,1995,3,21
emnlp,acl,2002,1996,3,29
emnlp,acl,2002,1997,2,29
emnlp,acl,2002,1998,3,33
emnlp,acl,2002,1999,12,36
emnlp,acl,2002,2000,7,52
emnlp,acl,2002,2001,11,41
emnlp,acl,2003,1986,1,1
emnlp,acl,2003,1990,1,3
emnlp,acl,2003,1993,1,8
emnlp,acl,2003,1994,1,8
emnlp,acl,2003,1995,3,10
emnlp,acl,2003,1996,1,9
emnlp,acl,2003,1997,1,12
emnlp,acl,2003,1998,3,14
emnlp,acl,2003,1999,3,22
emnlp,acl,2003,2000,3,24
emnlp,acl,2003,2001,6,20
emnlp,acl,2003,2002,16,43
emnlp,acl,2004,1992,1,6
emnlp,acl,2004,1993,1,2
emnlp,acl,2004,1994,2,4
emnlp,acl,2004,1995,1,7
emnlp,acl,2004,1999,4,13
emnlp,acl,2004,2000,9,23
emnlp,acl,2004,2001,5,13
emnlp,acl,2004,2002,17,39
emnlp,acl,2004,2003,9,41
emnlp,acl,2005,1983,3,7
emnlp,acl,2005,1989,1,8
emnlp,acl,2005,1990,1,12
emnlp,acl,2005,1992,3,26
emnlp,acl,2005,1993,2,22
emnlp,acl,2005,1994,1,17
emnlp,acl,2005,1995,3,32
emnlp,acl,2005,1996,5,26
emnlp,acl,2005,1997,3,38
emnlp,acl,2005,1998,9,55
emnlp,acl,2005,1999,11,46
emnlp,acl,2005,2000,10,76
emnlp,acl,2005,2001,8,68
emnlp,acl,2005,2002,19,105
emnlp,acl,2005,2003,30,138
emnlp,acl,2005,2004,33,161
emnlp,acl,2006,1987,2,4
emnlp,acl,2006,1991,1,5
emnlp,acl,2006,1992,1,6
emnlp,acl,2006,1993,1,12
emnlp,acl,2006,1994,3,8
emnlp,acl,2006,1995,3,17
emnlp,acl,2006,1996,6,20
emnlp,acl,2006,1997,1,21
emnlp,acl,2006,1998,3,23
emnlp,acl,2006,1999,4,26
emnlp,acl,2006,2000,5,25
emnlp,acl,2006,2001,6,36
emnlp,acl,2006,2002,10,61
emnlp,acl,2006,2003,15,67
emnlp,acl,2006,2004,26,100
emnlp,acl,2006,2005,32,101
emnlp,acl,2007,1989,1,5
emnlp,acl,2007,1990,1,4
emnlp,acl,2007,1991,1,7
emnlp,acl,2007,1993,3,12
emnlp,acl,2007,1994,2,13
emnlp,acl,2007,1995,3,12
emnlp,acl,2007,1996,4,15
emnlp,acl,2007,1997,1,17
emnlp,acl,2007,1998,6,19
emnlp,acl,2007,1999,5,23
emnlp,acl,2007,2000,7,40
emnlp,acl,2007,2001,7,30
emnlp,acl,2007,2002,11,52
emnlp,acl,2007,2003,15,73
emnlp,acl,2007,2004,22,92
emnlp,acl,2007,2005,30,92
emnlp,acl,2007,2006,10,117
emnlp,acl,2008,1989,2,9
emnlp,acl,2008,1991,3,8
emnlp,acl,2008,1993,3,16
emnlp,acl,2008,1994,5,22
emnlp,acl,2008,1995,3,15
emnlp,acl,2008,1996,4,20
emnlp,acl,2008,1997,3,20
emnlp,acl,2008,1998,3,42
emnlp,acl,2008,1999,8,43
emnlp,acl,2008,2000,8,49
emnlp,acl,2008,2001,9,42
emnlp,acl,2008,2002,20,81
emnlp,acl,2008,2003,15,85
emnlp,acl,2008,2004,16,121
emnlp,acl,2008,2005,34,133
emnlp,acl,2008,2006,11,157
emnlp,acl,2008,2007,36,153
emnlp,acl,2009,1983,1,2
emnlp,acl,2009,1986,1,7
emnlp,acl,2009,1987,1,6
emnlp,acl,2009,1990,1,15
emnlp,acl,2009,1992,2,14
emnlp,acl,2009,1993,6,20
emnlp,acl,2009,1994,1,12
emnlp,acl,2009,1995,5,27
emnlp,acl,2009,1996,5,31
emnlp,acl,2009,1997,1,24
emnlp,acl,2009,1998,9,40
emnlp,acl,2009,1999,13,40
emnlp,acl,2009,2000,6,56
emnlp,acl,2009,2001,6,46
emnlp,acl,2009,2002,21,83
emnlp,acl,2009,2003,27,118
emnlp,acl,2009,2004,26,161
emnlp,acl,2009,2005,37,152
emnlp,acl,2009,2006,16,188
emnlp,acl,2009,2007,46,210
emnlp,acl,2009,2008,53,273
emnlp,acl,2010,1985,1,2
emnlp,acl,2010,1991,1,5
emnlp,acl,2010,1993,2,12
emnlp,acl,2010,1994,1,9
emnlp,acl,2010,1995,4,14
emnlp,acl,2010,1996,4,23
emnlp,acl,2010,1997,1,23
emnlp,acl,2010,1998,4,26
emnlp,acl,2010,1999,4,21
emnlp,acl,2010,2000,7,37
emnlp,acl,2010,2001,5,26
emnlp,acl,2010,2002,18,58
emnlp,acl,2010,2003,13,84
emnlp,acl,2010,2004,16,85
emnlp,acl,2010,2005,25,106
emnlp,acl,2010,2006,8,144
emnlp,acl,2010,2007,36,139
emnlp,acl,2010,2008,38,170
emnlp,acl,2010,2009,39,183
emnlp,acl,2011,1979,1,3
emnlp,acl,2011,1985,1,1
emnlp,acl,2011,1987,1,5
emnlp,acl,2011,1989,2,9
emnlp,acl,2011,1993,2,14
emnlp,acl,2011,1994,2,14
emnlp,acl,2011,1995,6,25
emnlp,acl,2011,1996,4,31
emnlp,acl,2011,1997,3,19
emnlp,acl,2011,1998,4,28
emnlp,acl,2011,1999,11,34
emnlp,acl,2011,2000,5,38
emnlp,acl,2011,2001,6,51
emnlp,acl,2011,2002,18,71
emnlp,acl,2011,2003,17,93
emnlp,acl,2011,2004,18,101
emnlp,acl,2011,2005,36,116
emnlp,acl,2011,2006,18,162
emnlp,acl,2011,2007,40,180
emnlp,acl,2011,2008,40,189
emnlp,acl,2011,2009,58,255
emnlp,acl,2011,2010,55,292
emnlp,acl,2012,1988,1,3
emnlp,acl,2012,1989,2,10
emnlp,acl,2012,1991,2,10
emnlp,acl,2012,1992,1,11
emnlp,acl,2012,1994,1,9
emnlp,acl,2012,1995,5,22
emnlp,acl,2012,1996,2,24
emnlp,acl,2012,1997,1,23
emnlp,acl,2012,1998,4,29
emnlp,acl,2012,1999,5,27
emnlp,acl,2012,2000,7,47
emnlp,acl,2012,2001,6,46
emnlp,acl,2012,2002,16,61
emnlp,acl,2012,2003,12,74
emnlp,acl,2012,2004,17,93
emnlp,acl,2012,2005,29,108
emnlp,acl,2012,2006,9,139
emnlp,acl,2012,2007,37,161
emnlp,acl,2012,2008,31,170
emnlp,acl,2012,2009,44,200
emnlp,acl,2012,2010,50,251
emnlp,acl,2012,2011,82,260
emnlp,acl,2013,1989,2,5
emnlp,acl,2013,1991,1,9
emnlp,acl,2013,1994,2,7
emnlp,acl,2013,1995,4,20
emnlp,acl,2013,1996,1,13
emnlp,acl,2013,1998,2,17
emnlp,acl,2013,1999,5,21
emnlp,acl,2013,2000,5,28
emnlp,acl,2013,2001,6,38
emnlp,acl,2013,2002,12,43
emnlp,acl,2013,2003,12,59
emnlp,acl,2013,2004,16,87
emnlp,acl,2013,2005,16,78
emnlp,acl,2013,2006,7,117
emnlp,acl,2013,2007,20,108
emnlp,acl,2013,2008,31,144
emnlp,acl,2013,2009,40,193
emnlp,acl,2013,2010,41,226
emnlp,acl,2013,2011,62,211
emnlp,acl,2013,2012,53,264
emnlp,acl,2014,1988,2,9
emnlp,acl,2014,1989,1,6
emnlp,acl,2014,1990,1,11
emnlp,acl,2014,1992,1,13
emnlp,acl,2014,1994,1,14
emnlp,acl,2014,1995,3,12
emnlp,acl,2014,1996,3,30
emnlp,acl,2014,1997,1,22
emnlp,acl,2014,1998,3,25
emnlp,acl,2014,1999,5,23
emnlp,acl,2014,2000,8,40
emnlp,acl,2014,2001,2,38
emnlp,acl,2014,2002,15,54
emnlp,acl,2014,2003,9,59
emnlp,acl,2014,2004,12,70
emnlp,acl,2014,2005,25,89
emnlp,acl,2014,2006,9,109
emnlp,acl,2014,2007,23,116
emnlp,acl,2014,2008,29,174
emnlp,acl,2014,2009,31,187
emnlp,acl,2014,2010,41,232
emnlp,acl,2014,2011,55,210
emnlp,acl,2014,2012,55,298
emnlp,acl,2014,2013,64,300
emnlp,acl,2015,2008,3,6
emnlp,acl,2015,2010,1,8
emnlp,acl,2015,2011,2,10
emnlp,acl,2015,2012,3,10
emnlp,acl,2015,2013,1,7
emnlp,acl,2015,2014,3,9
