from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
emnlp,cvpr,2009,2005,1,152
emnlp,cvpr,2010,2008,1,170
emnlp,cvpr,2010,2009,1,183
emnlp,cvpr,2011,2006,1,162
emnlp,cvpr,2011,2010,1,292
emnlp,cvpr,2012,2006,1,139
emnlp,cvpr,2012,2008,1,170
emnlp,cvpr,2012,2011,1,260
emnlp,cvpr,2013,1997,1,16
emnlp,cvpr,2013,2006,1,117
emnlp,cvpr,2013,2008,1,144
emnlp,cvpr,2013,2009,3,193
emnlp,cvpr,2013,2010,2,226
emnlp,cvpr,2013,2011,2,211
emnlp,cvpr,2013,2012,1,264
emnlp,cvpr,2014,2005,1,89
emnlp,cvpr,2014,2008,1,174
emnlp,cvpr,2014,2009,2,187
emnlp,cvpr,2014,2012,1,298
