from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
emnlp,emnlp,2002,2000,2,52
emnlp,emnlp,2002,2001,1,41
emnlp,emnlp,2003,2000,1,24
emnlp,emnlp,2003,2001,1,20
emnlp,emnlp,2003,2002,5,43
emnlp,emnlp,2004,2000,2,23
emnlp,emnlp,2004,2002,5,39
emnlp,emnlp,2004,2003,1,41
emnlp,emnlp,2005,2000,2,76
emnlp,emnlp,2005,2001,3,68
emnlp,emnlp,2005,2002,12,105
emnlp,emnlp,2005,2003,7,138
emnlp,emnlp,2005,2004,19,161
emnlp,emnlp,2006,2002,8,61
emnlp,emnlp,2006,2003,3,67
emnlp,emnlp,2006,2004,6,100
emnlp,emnlp,2006,2005,19,101
emnlp,emnlp,2007,2000,2,40
emnlp,emnlp,2007,2001,1,30
emnlp,emnlp,2007,2002,5,52
emnlp,emnlp,2007,2003,4,73
emnlp,emnlp,2007,2004,11,92
emnlp,emnlp,2007,2005,19,92
emnlp,emnlp,2007,2006,13,117
emnlp,emnlp,2008,2000,4,49
emnlp,emnlp,2008,2002,12,81
emnlp,emnlp,2008,2003,5,85
emnlp,emnlp,2008,2004,14,121
emnlp,emnlp,2008,2005,31,133
emnlp,emnlp,2008,2006,15,157
emnlp,emnlp,2008,2007,31,153
emnlp,emnlp,2009,2000,2,56
emnlp,emnlp,2009,2002,10,83
emnlp,emnlp,2009,2003,4,118
emnlp,emnlp,2009,2004,17,161
emnlp,emnlp,2009,2005,27,152
emnlp,emnlp,2009,2006,17,188
emnlp,emnlp,2009,2007,41,210
emnlp,emnlp,2009,2008,50,273
emnlp,emnlp,2010,2000,2,37
emnlp,emnlp,2010,2002,9,58
emnlp,emnlp,2010,2003,5,84
emnlp,emnlp,2010,2004,8,85
emnlp,emnlp,2010,2005,18,106
emnlp,emnlp,2010,2006,11,144
emnlp,emnlp,2010,2007,23,139
emnlp,emnlp,2010,2008,34,170
emnlp,emnlp,2010,2009,41,183
emnlp,emnlp,2011,2000,2,38
emnlp,emnlp,2011,2002,7,71
emnlp,emnlp,2011,2003,4,93
emnlp,emnlp,2011,2004,19,101
emnlp,emnlp,2011,2005,24,116
emnlp,emnlp,2011,2006,14,162
emnlp,emnlp,2011,2007,32,180
emnlp,emnlp,2011,2008,34,189
emnlp,emnlp,2011,2009,50,255
emnlp,emnlp,2011,2010,44,292
emnlp,emnlp,2012,2000,2,47
emnlp,emnlp,2012,2002,5,61
emnlp,emnlp,2012,2003,3,74
emnlp,emnlp,2012,2004,9,93
emnlp,emnlp,2012,2005,20,108
emnlp,emnlp,2012,2006,13,139
emnlp,emnlp,2012,2007,28,161
emnlp,emnlp,2012,2008,36,170
emnlp,emnlp,2012,2009,32,200
emnlp,emnlp,2012,2010,31,251
emnlp,emnlp,2012,2011,52,260
emnlp,emnlp,2013,2000,1,28
emnlp,emnlp,2013,2001,2,38
emnlp,emnlp,2013,2002,7,43
emnlp,emnlp,2013,2003,1,59
emnlp,emnlp,2013,2004,5,87
emnlp,emnlp,2013,2005,13,78
emnlp,emnlp,2013,2006,13,117
emnlp,emnlp,2013,2007,26,108
emnlp,emnlp,2013,2008,24,144
emnlp,emnlp,2013,2009,24,193
emnlp,emnlp,2013,2010,23,226
emnlp,emnlp,2013,2011,37,211
emnlp,emnlp,2013,2012,50,264
emnlp,emnlp,2014,2000,4,40
emnlp,emnlp,2014,2002,6,54
emnlp,emnlp,2014,2003,2,59
emnlp,emnlp,2014,2004,7,70
emnlp,emnlp,2014,2005,9,89
emnlp,emnlp,2014,2006,9,109
emnlp,emnlp,2014,2007,12,116
emnlp,emnlp,2014,2008,25,174
emnlp,emnlp,2014,2009,28,187
emnlp,emnlp,2014,2010,30,232
emnlp,emnlp,2014,2011,37,210
emnlp,emnlp,2014,2012,39,298
emnlp,emnlp,2014,2013,58,300
emnlp,emnlp,2015,2005,1,2
emnlp,emnlp,2015,2007,1,4
emnlp,emnlp,2015,2010,2,8
emnlp,emnlp,2015,2011,1,10
emnlp,emnlp,2015,2012,2,10
emnlp,emnlp,2015,2013,3,7
emnlp,emnlp,2015,2014,2,9
