from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
emnlp,ml,2000,1990,1,6
emnlp,ml,2000,1991,1,3
emnlp,ml,2000,1993,1,18
emnlp,ml,2000,1994,1,21
emnlp,ml,2000,1995,1,14
emnlp,ml,2000,1996,1,26
emnlp,ml,2000,1999,1,22
emnlp,ml,2001,1994,1,2
emnlp,ml,2001,2000,1,3
emnlp,ml,2002,1987,1,4
emnlp,ml,2002,1988,1,2
emnlp,ml,2002,1995,1,21
emnlp,ml,2002,1997,1,29
emnlp,ml,2002,1999,3,36
emnlp,ml,2003,1999,4,22
emnlp,ml,2003,2000,1,24
emnlp,ml,2003,2002,1,43
emnlp,ml,2004,1987,1,1
emnlp,ml,2005,1993,1,22
emnlp,ml,2005,1995,1,32
emnlp,ml,2005,1999,5,46
emnlp,ml,2005,2000,3,76
emnlp,ml,2006,1986,1,2
emnlp,ml,2006,1987,1,4
emnlp,ml,2006,1994,1,8
emnlp,ml,2006,1999,3,26
emnlp,ml,2006,2000,1,25
emnlp,ml,2006,2005,1,101
emnlp,ml,2007,1999,4,23
emnlp,ml,2007,2000,1,40
emnlp,ml,2007,2001,1,30
emnlp,ml,2008,1986,1,5
emnlp,ml,2008,1993,1,16
emnlp,ml,2008,1994,1,22
emnlp,ml,2008,1995,1,15
emnlp,ml,2008,1999,6,43
emnlp,ml,2008,2001,2,42
emnlp,ml,2008,2005,1,133
emnlp,ml,2008,2006,1,157
emnlp,ml,2008,2007,1,153
emnlp,ml,2009,1986,1,7
emnlp,ml,2009,1995,1,27
emnlp,ml,2009,1996,1,31
emnlp,ml,2009,1999,1,40
emnlp,ml,2009,2000,2,56
emnlp,ml,2009,2001,2,46
emnlp,ml,2009,2005,2,152
emnlp,ml,2009,2006,1,188
emnlp,ml,2010,1990,1,6
emnlp,ml,2010,1994,1,9
emnlp,ml,2010,1995,1,14
emnlp,ml,2010,1996,1,23
emnlp,ml,2010,1999,1,21
emnlp,ml,2010,2000,1,37
emnlp,ml,2010,2006,1,144
emnlp,ml,2010,2009,1,183
emnlp,ml,2011,1987,1,5
emnlp,ml,2011,1991,1,4
emnlp,ml,2011,1999,4,34
emnlp,ml,2011,2002,1,71
emnlp,ml,2011,2006,1,162
emnlp,ml,2011,2007,2,180
emnlp,ml,2011,2009,1,255
emnlp,ml,2011,2010,1,292
emnlp,ml,2012,1986,1,5
emnlp,ml,2012,1991,1,10
emnlp,ml,2012,1994,1,9
emnlp,ml,2012,1997,2,23
emnlp,ml,2012,1999,2,27
emnlp,ml,2012,2000,1,47
emnlp,ml,2012,2004,1,93
emnlp,ml,2012,2005,2,108
emnlp,ml,2012,2006,1,139
emnlp,ml,2012,2009,3,200
emnlp,ml,2012,2010,4,251
emnlp,ml,2013,1986,1,3
emnlp,ml,2013,1991,1,9
emnlp,ml,2013,2000,1,28
emnlp,ml,2013,2005,2,78
emnlp,ml,2013,2006,1,117
emnlp,ml,2013,2007,1,108
emnlp,ml,2013,2009,1,193
emnlp,ml,2013,2010,3,226
emnlp,ml,2013,2011,1,211
emnlp,ml,2013,2012,1,264
emnlp,ml,2014,1992,1,13
emnlp,ml,2014,1995,1,12
emnlp,ml,2014,1997,1,22
emnlp,ml,2014,1999,1,23
emnlp,ml,2014,2001,2,38
emnlp,ml,2014,2006,1,109
emnlp,ml,2014,2009,2,187
emnlp,ml,2014,2010,2,232
emnlp,ml,2014,2011,2,210
emnlp,ml,2014,2013,1,300
