from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
emnlp,nips,2002,1999,1,36
emnlp,nips,2002,2001,2,41
emnlp,nips,2003,2001,2,20
emnlp,nips,2004,1999,1,13
emnlp,nips,2004,2001,1,13
emnlp,nips,2004,2002,1,39
emnlp,nips,2004,2003,1,41
emnlp,nips,2005,1999,1,46
emnlp,nips,2005,2001,2,68
emnlp,nips,2005,2002,2,105
emnlp,nips,2005,2003,1,138
emnlp,nips,2005,2004,7,161
emnlp,nips,2006,1999,1,26
emnlp,nips,2006,2001,2,36
emnlp,nips,2006,2002,1,61
emnlp,nips,2006,2003,4,67
emnlp,nips,2006,2004,5,100
emnlp,nips,2007,1992,1,5
emnlp,nips,2007,1999,2,23
emnlp,nips,2007,2001,2,30
emnlp,nips,2007,2002,1,52
emnlp,nips,2007,2003,2,73
emnlp,nips,2007,2004,2,92
emnlp,nips,2007,2005,1,92
emnlp,nips,2007,2006,2,117
emnlp,nips,2008,2001,2,42
emnlp,nips,2008,2002,4,81
emnlp,nips,2008,2003,2,85
emnlp,nips,2008,2004,4,121
emnlp,nips,2008,2005,3,133
emnlp,nips,2008,2006,4,157
emnlp,nips,2008,2007,7,153
emnlp,nips,2009,1990,1,15
emnlp,nips,2009,1995,1,27
emnlp,nips,2009,1996,2,31
emnlp,nips,2009,1999,2,40
emnlp,nips,2009,2000,1,56
emnlp,nips,2009,2001,5,46
emnlp,nips,2009,2002,5,83
emnlp,nips,2009,2003,4,118
emnlp,nips,2009,2004,7,161
emnlp,nips,2009,2005,3,152
emnlp,nips,2009,2006,3,188
emnlp,nips,2009,2007,7,210
emnlp,nips,2009,2008,4,273
emnlp,nips,2010,2000,1,37
emnlp,nips,2010,2001,3,26
emnlp,nips,2010,2002,1,58
emnlp,nips,2010,2003,3,84
emnlp,nips,2010,2004,4,85
emnlp,nips,2010,2005,3,106
emnlp,nips,2010,2006,5,144
emnlp,nips,2010,2007,7,139
emnlp,nips,2010,2008,4,170
emnlp,nips,2010,2009,7,183
emnlp,nips,2011,1998,2,28
emnlp,nips,2011,1999,1,34
emnlp,nips,2011,2000,1,38
emnlp,nips,2011,2001,5,51
emnlp,nips,2011,2002,2,71
emnlp,nips,2011,2003,3,93
emnlp,nips,2011,2004,6,101
emnlp,nips,2011,2005,1,116
emnlp,nips,2011,2006,1,162
emnlp,nips,2011,2007,10,180
emnlp,nips,2011,2008,6,189
emnlp,nips,2011,2009,12,255
emnlp,nips,2011,2010,4,292
emnlp,nips,2012,1996,1,24
emnlp,nips,2012,1997,1,23
emnlp,nips,2012,1998,1,29
emnlp,nips,2012,2001,3,46
emnlp,nips,2012,2002,1,61
emnlp,nips,2012,2003,3,74
emnlp,nips,2012,2004,6,93
emnlp,nips,2012,2006,2,139
emnlp,nips,2012,2007,8,161
emnlp,nips,2012,2008,9,170
emnlp,nips,2012,2009,6,200
emnlp,nips,2012,2010,4,251
emnlp,nips,2012,2011,4,260
emnlp,nips,2013,1998,1,17
emnlp,nips,2013,1999,1,21
emnlp,nips,2013,2001,3,38
emnlp,nips,2013,2002,3,43
emnlp,nips,2013,2003,3,59
emnlp,nips,2013,2004,5,87
emnlp,nips,2013,2006,2,117
emnlp,nips,2013,2007,4,108
emnlp,nips,2013,2008,3,144
emnlp,nips,2013,2009,6,193
emnlp,nips,2013,2010,4,226
emnlp,nips,2013,2011,5,211
emnlp,nips,2013,2012,5,264
emnlp,nips,2014,1992,1,13
emnlp,nips,2014,1996,1,30
emnlp,nips,2014,1997,1,22
emnlp,nips,2014,2001,2,38
emnlp,nips,2014,2002,2,54
emnlp,nips,2014,2003,3,59
emnlp,nips,2014,2004,1,70
emnlp,nips,2014,2005,2,89
emnlp,nips,2014,2006,2,109
emnlp,nips,2014,2007,2,116
emnlp,nips,2014,2008,6,174
emnlp,nips,2014,2009,6,187
emnlp,nips,2014,2010,2,232
emnlp,nips,2014,2011,7,210
emnlp,nips,2014,2012,9,298
emnlp,nips,2014,2013,8,300
emnlp,nips,2015,1997,1,2
emnlp,nips,2015,2011,3,10
emnlp,nips,2015,2013,1,7
emnlp,nips,2015,2014,3,9
