from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
emnlp,uai,2005,1995,3,32
emnlp,uai,2005,1998,1,55
emnlp,uai,2005,2002,2,105
emnlp,uai,2006,1996,1,20
emnlp,uai,2006,1998,1,23
emnlp,uai,2006,2004,2,100
emnlp,uai,2008,2002,2,81
emnlp,uai,2008,2004,1,121
emnlp,uai,2008,2005,1,133
emnlp,uai,2009,2005,1,152
emnlp,uai,2010,1999,1,21
emnlp,uai,2010,2004,1,85
emnlp,uai,2010,2009,2,183
emnlp,uai,2011,1997,1,19
emnlp,uai,2011,2002,1,71
emnlp,uai,2012,1998,2,29
emnlp,uai,2012,1999,1,27
emnlp,uai,2012,2001,1,46
emnlp,uai,2012,2002,2,61
emnlp,uai,2012,2004,2,93
emnlp,uai,2012,2005,1,108
emnlp,uai,2013,1998,1,17
emnlp,uai,2013,1999,2,21
emnlp,uai,2013,2002,1,43
emnlp,uai,2013,2004,1,87
emnlp,uai,2013,2009,1,193
emnlp,uai,2013,2012,2,264
emnlp,uai,2014,1993,1,12
emnlp,uai,2014,2001,1,38
emnlp,uai,2014,2002,1,54
emnlp,uai,2014,2004,2,70
emnlp,uai,2014,2009,1,187
emnlp,uai,2014,2012,4,298
emnlp,uai,2015,2012,1,10
