from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
gecco,aaai,1999,1998,2,22
gecco,aaai,2000,1990,1,4
gecco,aaai,2001,1987,1,1
gecco,aaai,2001,1994,1,10
gecco,aaai,2001,1999,1,11
gecco,aaai,2002,1996,1,18
gecco,aaai,2002,1997,1,14
gecco,aaai,2003,1983,1,4
gecco,aaai,2003,1992,1,24
gecco,aaai,2003,1993,1,45
gecco,aaai,2003,1996,1,65
gecco,aaai,2003,1999,1,124
gecco,aaai,2003,2000,1,136
gecco,aaai,2003,2002,1,175
gecco,aaai,2004,1992,3,29
gecco,aaai,2004,1993,1,50
gecco,aaai,2004,1994,2,69
gecco,aaai,2004,1996,1,64
gecco,aaai,2004,1997,3,76
gecco,aaai,2004,1998,1,111
gecco,aaai,2004,1999,1,115
gecco,aaai,2004,2000,1,119
gecco,aaai,2004,2002,1,151
gecco,aaai,2005,1982,1,9
gecco,aaai,2005,1990,1,40
gecco,aaai,2005,1992,2,48
gecco,aaai,2005,1994,2,82
gecco,aaai,2005,1996,1,105
gecco,aaai,2005,1997,1,102
gecco,aaai,2005,1998,1,136
gecco,aaai,2005,2000,2,172
gecco,aaai,2005,2004,1,273
gecco,aaai,2006,1992,2,30
gecco,aaai,2006,1996,1,63
gecco,aaai,2006,1998,1,97
gecco,aaai,2006,2000,2,113
gecco,aaai,2006,2004,5,206
gecco,aaai,2007,1991,1,35
gecco,aaai,2007,1992,2,34
gecco,aaai,2007,1994,1,81
gecco,aaai,2007,1998,1,91
gecco,aaai,2007,2000,2,160
gecco,aaai,2007,2001,1,174
gecco,aaai,2007,2002,1,224
gecco,aaai,2007,2004,2,284
gecco,aaai,2008,1991,1,21
gecco,aaai,2008,1992,2,41
gecco,aaai,2008,1993,1,39
gecco,aaai,2008,1999,1,116
gecco,aaai,2008,2000,2,125
gecco,aaai,2008,2001,1,114
gecco,aaai,2008,2006,2,232
gecco,aaai,2008,2007,1,276
gecco,aaai,2009,1993,1,44
gecco,aaai,2009,1994,1,79
gecco,aaai,2009,1996,1,67
gecco,aaai,2009,1997,1,68
gecco,aaai,2009,1998,1,105
gecco,aaai,2009,1999,1,129
gecco,aaai,2009,2002,1,200
gecco,aaai,2009,2005,1,276
gecco,aaai,2009,2007,1,316
gecco,aaai,2009,2008,1,357
gecco,aaai,2010,1991,1,17
gecco,aaai,2010,1994,1,33
gecco,aaai,2010,1998,1,59
gecco,aaai,2010,2000,1,68
gecco,aaai,2010,2007,2,167
gecco,aaai,2010,2008,1,197
gecco,aaai,2011,1990,1,22
gecco,aaai,2011,1992,4,36
gecco,aaai,2011,1993,2,24
gecco,aaai,2011,1994,2,36
gecco,aaai,2011,1996,2,47
gecco,aaai,2011,1997,1,46
gecco,aaai,2011,1998,2,63
gecco,aaai,2011,1999,2,82
gecco,aaai,2011,2001,1,99
gecco,aaai,2011,2002,1,122
gecco,aaai,2011,2004,1,134
gecco,aaai,2011,2005,1,152
gecco,aaai,2011,2006,2,173
gecco,aaai,2011,2007,1,222
gecco,aaai,2011,2008,2,218
gecco,aaai,2011,2010,1,267
gecco,aaai,2012,1991,1,20
gecco,aaai,2012,1992,1,22
gecco,aaai,2012,1998,1,44
gecco,aaai,2012,2006,1,107
gecco,aaai,2012,2007,1,120
gecco,aaai,2012,2008,1,165
gecco,aaai,2013,1984,1,7
gecco,aaai,2013,1988,1,9
gecco,aaai,2013,1992,2,25
gecco,aaai,2013,1996,1,49
gecco,aaai,2013,1998,1,67
gecco,aaai,2013,2007,1,173
gecco,aaai,2013,2008,1,173
gecco,aaai,2013,2012,1,219
gecco,aaai,2014,1988,1,13
gecco,aaai,2014,1994,1,35
gecco,aaai,2014,1997,1,16
gecco,aaai,2014,1998,1,31
gecco,aaai,2014,2005,1,85
gecco,aaai,2014,2006,1,67
gecco,aaai,2014,2008,1,98
gecco,aaai,2014,2010,1,112
gecco,aaai,2015,1983,1,4
gecco,aaai,2015,1993,1,13
gecco,aaai,2015,1994,1,28
gecco,aaai,2015,1997,1,22
gecco,aaai,2015,1998,2,44
gecco,aaai,2015,2002,1,71
gecco,aaai,2015,2006,1,91
gecco,aaai,2015,2008,2,100
gecco,aaai,2015,2010,1,146
gecco,aaai,2015,2013,1,205
