from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
gecco,aamas,2001,1997,1,12
gecco,aamas,2002,1997,1,14
gecco,aamas,2003,2002,1,175
gecco,aamas,2004,2000,1,119
gecco,aamas,2004,2003,2,176
gecco,aamas,2005,2003,2,257
gecco,aamas,2005,2004,1,273
gecco,aamas,2006,2001,1,134
gecco,aamas,2006,2002,1,184
gecco,aamas,2006,2003,1,155
gecco,aamas,2006,2004,1,206
gecco,aamas,2007,2001,1,174
gecco,aamas,2007,2002,1,224
gecco,aamas,2007,2003,1,210
gecco,aamas,2007,2004,2,284
gecco,aamas,2007,2005,2,305
gecco,aamas,2007,2006,1,262
gecco,aamas,2008,2004,2,180
gecco,aamas,2008,2005,2,223
gecco,aamas,2008,2007,2,276
gecco,aamas,2009,2000,2,143
gecco,aamas,2009,2002,3,200
gecco,aamas,2009,2003,1,212
gecco,aamas,2009,2004,1,238
gecco,aamas,2009,2005,2,276
gecco,aamas,2009,2006,2,285
gecco,aamas,2009,2008,1,357
gecco,aamas,2010,2000,1,68
gecco,aamas,2010,2004,2,107
gecco,aamas,2010,2005,4,138
gecco,aamas,2010,2006,1,154
gecco,aamas,2010,2007,2,167
gecco,aamas,2011,2002,1,122
gecco,aamas,2011,2006,1,173
gecco,aamas,2011,2007,1,222
gecco,aamas,2011,2010,3,267
gecco,aamas,2012,2002,1,89
gecco,aamas,2012,2003,1,85
gecco,aamas,2012,2005,5,124
gecco,aamas,2012,2006,1,107
gecco,aamas,2012,2007,1,120
gecco,aamas,2012,2008,3,165
gecco,aamas,2012,2009,1,147
gecco,aamas,2012,2010,3,162
gecco,aamas,2012,2011,1,175
gecco,aamas,2013,2005,1,123
gecco,aamas,2013,2010,1,213
gecco,aamas,2013,2011,1,193
gecco,aamas,2014,1998,1,31
gecco,aamas,2014,2001,1,46
gecco,aamas,2014,2007,1,94
gecco,aamas,2014,2009,1,97
gecco,aamas,2014,2010,1,112
gecco,aamas,2014,2012,2,136
gecco,aamas,2015,2001,1,50
gecco,aamas,2015,2005,1,90
gecco,aamas,2015,2010,1,146
