from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
gecco,colt,1996,1994,1,3
gecco,colt,2000,1995,1,8
gecco,colt,2002,1995,1,12
gecco,colt,2003,1995,1,59
gecco,colt,2004,1995,1,46
gecco,colt,2005,1992,1,48
gecco,colt,2005,1995,1,78
gecco,colt,2005,1996,1,105
gecco,colt,2006,1998,1,97
gecco,colt,2007,1992,2,34
gecco,colt,2007,1995,1,48
gecco,colt,2007,2001,1,174
gecco,colt,2008,1992,1,41
gecco,colt,2009,1992,1,39
gecco,colt,2010,1992,1,21
gecco,colt,2010,1994,1,33
gecco,colt,2010,1998,1,59
gecco,colt,2010,1999,1,68
gecco,colt,2013,1992,1,25
gecco,colt,2015,1992,1,19
gecco,colt,2015,2012,1,178
