from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
gecco,cvpr,2003,1994,1,70
gecco,cvpr,2004,1992,1,29
gecco,cvpr,2004,2003,1,176
gecco,cvpr,2005,1988,1,16
gecco,cvpr,2005,1996,1,105
gecco,cvpr,2005,2004,1,273
gecco,cvpr,2006,1994,1,57
gecco,cvpr,2006,1998,1,97
gecco,cvpr,2006,2001,1,134
gecco,cvpr,2006,2003,1,155
gecco,cvpr,2007,2000,2,160
gecco,cvpr,2007,2001,1,174
gecco,cvpr,2007,2004,1,284
gecco,cvpr,2008,1994,1,57
gecco,cvpr,2008,2000,1,125
gecco,cvpr,2008,2005,1,223
gecco,cvpr,2009,1998,1,105
gecco,cvpr,2009,2000,1,143
gecco,cvpr,2009,2003,1,212
gecco,cvpr,2009,2004,1,238
gecco,cvpr,2009,2005,4,276
gecco,cvpr,2009,2006,2,285
gecco,cvpr,2009,2007,3,316
gecco,cvpr,2009,2008,3,357
gecco,cvpr,2010,1997,1,42
gecco,cvpr,2010,2004,1,107
gecco,cvpr,2011,2008,1,218
gecco,cvpr,2012,1993,1,19
gecco,cvpr,2012,1994,1,28
gecco,cvpr,2012,1997,1,32
gecco,cvpr,2012,2001,1,64
gecco,cvpr,2012,2008,2,165
gecco,cvpr,2012,2009,1,147
gecco,cvpr,2013,2003,1,89
gecco,cvpr,2013,2004,1,91
gecco,cvpr,2013,2005,2,123
gecco,cvpr,2013,2006,1,145
gecco,cvpr,2013,2008,1,173
gecco,cvpr,2013,2010,1,213
gecco,cvpr,2013,2012,1,219
gecco,cvpr,2014,2005,2,85
gecco,cvpr,2014,2008,1,98
gecco,cvpr,2014,2010,1,112
gecco,cvpr,2014,2011,4,138
gecco,cvpr,2014,2012,1,136
gecco,cvpr,2014,2013,1,134
gecco,cvpr,2015,2009,2,138
gecco,cvpr,2015,2011,1,136
