from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
gecco,ecai,2002,1998,1,18
gecco,ecai,2003,1992,1,24
gecco,ecai,2003,2002,3,175
gecco,ecai,2004,1988,1,16
gecco,ecai,2004,1990,1,27
gecco,ecai,2005,1990,1,40
gecco,ecai,2006,1990,1,25
gecco,ecai,2006,2004,1,206
gecco,ecai,2007,2000,1,160
gecco,ecai,2007,2004,1,284
gecco,ecai,2008,1994,1,57
gecco,ecai,2008,1999,1,116
gecco,ecai,2008,2002,1,176
gecco,ecai,2009,1994,1,79
gecco,ecai,2011,1997,1,46
gecco,ecai,2011,2002,1,122
gecco,ecai,2011,2004,1,134
gecco,ecai,2012,1994,1,28
gecco,ecai,2012,1997,1,32
gecco,ecai,2012,2002,1,89
gecco,ecai,2012,2008,1,165
gecco,ecai,2013,1992,1,25
gecco,ecai,2014,2006,1,67
gecco,ecai,2015,1992,1,19
