from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
gecco,gecco,2000,1987,1,4
gecco,gecco,2000,1999,9,30
gecco,gecco,2001,1996,1,7
gecco,gecco,2001,1999,1,11
gecco,gecco,2001,2000,1,12
gecco,gecco,2002,1999,5,36
gecco,gecco,2002,2000,6,40
gecco,gecco,2002,2001,10,40
gecco,gecco,2003,1987,1,12
gecco,gecco,2003,1996,1,65
gecco,gecco,2003,1998,1,114
gecco,gecco,2003,1999,19,124
gecco,gecco,2003,2000,18,136
gecco,gecco,2003,2001,23,132
gecco,gecco,2003,2002,48,175
gecco,gecco,2004,1996,1,64
gecco,gecco,2004,1999,14,115
gecco,gecco,2004,2000,15,119
gecco,gecco,2004,2001,16,122
gecco,gecco,2004,2002,34,151
gecco,gecco,2004,2003,57,176
gecco,gecco,2005,1996,2,105
gecco,gecco,2005,1999,30,193
gecco,gecco,2005,2000,25,172
gecco,gecco,2005,2001,24,166
gecco,gecco,2005,2002,45,262
gecco,gecco,2005,2003,65,257
gecco,gecco,2005,2004,62,273
gecco,gecco,2006,1996,1,63
gecco,gecco,2006,1999,20,125
gecco,gecco,2006,2000,14,113
gecco,gecco,2006,2001,26,134
gecco,gecco,2006,2002,28,184
gecco,gecco,2006,2003,26,155
gecco,gecco,2006,2004,48,206
gecco,gecco,2006,2005,83,241
gecco,gecco,2007,1996,1,72
gecco,gecco,2007,1998,1,91
gecco,gecco,2007,1999,23,163
gecco,gecco,2007,2000,19,160
gecco,gecco,2007,2001,24,174
gecco,gecco,2007,2002,27,224
gecco,gecco,2007,2003,23,210
gecco,gecco,2007,2004,39,284
gecco,gecco,2007,2005,75,305
gecco,gecco,2007,2006,63,262
gecco,gecco,2008,1987,1,11
gecco,gecco,2008,1996,2,65
gecco,gecco,2008,1999,15,116
gecco,gecco,2008,2000,8,125
gecco,gecco,2008,2001,12,114
gecco,gecco,2008,2002,25,176
gecco,gecco,2008,2003,22,142
gecco,gecco,2008,2004,33,180
gecco,gecco,2008,2005,56,223
gecco,gecco,2008,2006,53,232
gecco,gecco,2008,2007,80,276
gecco,gecco,2009,1996,1,67
gecco,gecco,2009,1998,1,105
gecco,gecco,2009,1999,18,129
gecco,gecco,2009,2000,7,143
gecco,gecco,2009,2001,20,152
gecco,gecco,2009,2002,20,200
gecco,gecco,2009,2003,20,212
gecco,gecco,2009,2004,23,238
gecco,gecco,2009,2005,37,276
gecco,gecco,2009,2006,47,285
gecco,gecco,2009,2007,66,316
gecco,gecco,2009,2008,69,357
gecco,gecco,2010,1996,1,35
gecco,gecco,2010,1999,11,68
gecco,gecco,2010,2000,7,68
gecco,gecco,2010,2001,8,79
gecco,gecco,2010,2002,7,90
gecco,gecco,2010,2003,9,93
gecco,gecco,2010,2004,11,107
gecco,gecco,2010,2005,24,138
gecco,gecco,2010,2006,32,154
gecco,gecco,2010,2007,28,167
gecco,gecco,2010,2008,27,197
gecco,gecco,2010,2009,81,242
gecco,gecco,2011,1996,1,47
gecco,gecco,2011,1999,10,82
gecco,gecco,2011,2000,5,81
gecco,gecco,2011,2001,15,99
gecco,gecco,2011,2002,7,122
gecco,gecco,2011,2003,10,112
gecco,gecco,2011,2004,14,134
gecco,gecco,2011,2005,24,152
gecco,gecco,2011,2006,20,173
gecco,gecco,2011,2007,33,222
gecco,gecco,2011,2008,29,218
gecco,gecco,2011,2009,56,236
gecco,gecco,2011,2010,48,267
gecco,gecco,2012,1996,1,24
gecco,gecco,2012,1999,11,60
gecco,gecco,2012,2000,4,60
gecco,gecco,2012,2001,10,64
gecco,gecco,2012,2002,12,89
gecco,gecco,2012,2003,5,85
gecco,gecco,2012,2004,9,69
gecco,gecco,2012,2005,24,124
gecco,gecco,2012,2006,11,107
gecco,gecco,2012,2007,21,120
gecco,gecco,2012,2008,29,165
gecco,gecco,2012,2009,27,147
