from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
gecco,iccv,2005,1995,3,78
gecco,iccv,2007,1988,1,14
gecco,iccv,2007,2003,2,210
gecco,iccv,2008,1999,1,116
gecco,iccv,2008,2003,1,142
gecco,iccv,2009,1999,1,129
gecco,iccv,2009,2003,2,212
gecco,iccv,2009,2005,2,276
gecco,iccv,2010,1998,1,59
gecco,iccv,2010,1999,1,68
gecco,iccv,2011,1998,1,63
gecco,iccv,2011,1999,1,82
gecco,iccv,2011,2001,1,99
gecco,iccv,2011,2009,1,236
gecco,iccv,2012,2003,1,85
gecco,iccv,2013,2003,1,89
gecco,iccv,2013,2007,1,173
gecco,iccv,2013,2011,3,193
gecco,iccv,2015,1999,1,53
gecco,iccv,2015,2005,1,90
