from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
gecco,icra,2003,1992,1,24
gecco,icra,2003,2000,2,136
gecco,icra,2004,1993,1,50
gecco,icra,2004,1996,3,64
gecco,icra,2004,1997,2,76
gecco,icra,2004,1999,2,115
gecco,icra,2004,2002,1,151
gecco,icra,2005,1996,1,105
gecco,icra,2005,2000,1,172
gecco,icra,2005,2002,1,262
gecco,icra,2006,2000,1,113
gecco,icra,2006,2002,3,184
gecco,icra,2006,2003,1,155
gecco,icra,2006,2005,2,241
gecco,icra,2007,1991,1,35
gecco,icra,2007,1992,2,34
gecco,icra,2007,1996,1,72
gecco,icra,2007,1999,1,163
gecco,icra,2007,2001,2,174
gecco,icra,2007,2003,1,210
gecco,icra,2007,2006,1,262
gecco,icra,2008,1989,1,19
gecco,icra,2008,1993,1,39
gecco,icra,2008,1996,1,65
gecco,icra,2008,2000,1,125
gecco,icra,2008,2003,1,142
gecco,icra,2008,2004,2,180
gecco,icra,2008,2006,1,232
gecco,icra,2009,1989,1,24
gecco,icra,2009,1993,1,44
gecco,icra,2009,1996,1,67
gecco,icra,2009,1998,1,105
gecco,icra,2009,2000,1,143
gecco,icra,2009,2001,1,152
gecco,icra,2009,2003,2,212
gecco,icra,2009,2006,1,285
gecco,icra,2010,1992,1,21
gecco,icra,2010,2003,1,93
gecco,icra,2010,2004,3,107
gecco,icra,2010,2006,2,154
gecco,icra,2011,2001,1,99
gecco,icra,2011,2004,1,134
gecco,icra,2011,2006,1,173
gecco,icra,2011,2008,1,218
gecco,icra,2012,1996,1,24
gecco,icra,2012,1997,1,32
gecco,icra,2012,2000,1,60
gecco,icra,2012,2007,1,120
gecco,icra,2012,2008,1,165
gecco,icra,2012,2011,1,175
gecco,icra,2013,2000,1,67
gecco,icra,2013,2004,1,91
gecco,icra,2013,2009,1,185
gecco,icra,2013,2011,1,193
gecco,icra,2013,2012,2,219
gecco,icra,2014,2000,1,40
gecco,icra,2014,2005,1,85
gecco,icra,2014,2007,1,94
gecco,icra,2014,2010,1,112
gecco,icra,2015,2001,1,50
gecco,icra,2015,2003,1,63
gecco,icra,2015,2004,1,70
gecco,icra,2015,2012,1,178
gecco,icra,2015,2013,1,205
