from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
gecco,ictai,2002,1999,1,36
gecco,ictai,2003,1994,1,70
gecco,ictai,2003,1995,1,59
gecco,ictai,2005,1992,1,48
gecco,ictai,2005,1995,1,78
gecco,ictai,2005,2003,2,257
gecco,ictai,2005,2004,1,273
gecco,ictai,2006,1992,1,30
gecco,ictai,2006,2004,2,206
gecco,ictai,2007,1995,1,48
gecco,ictai,2007,1996,1,72
gecco,ictai,2007,2001,1,174
gecco,ictai,2007,2003,3,210
gecco,ictai,2007,2004,1,284
gecco,ictai,2008,1996,1,65
gecco,ictai,2008,2003,1,142
gecco,ictai,2008,2005,1,223
gecco,ictai,2008,2007,1,276
gecco,ictai,2009,1992,1,39
gecco,ictai,2009,1997,1,68
gecco,ictai,2009,2003,1,212
gecco,ictai,2010,1995,1,27
gecco,ictai,2011,1995,1,25
gecco,ictai,2011,2007,2,222
gecco,ictai,2011,2009,1,236
gecco,ictai,2012,2004,1,69
gecco,ictai,2012,2011,1,175
gecco,ictai,2013,1992,1,25
gecco,ictai,2013,2000,1,67
gecco,ictai,2014,2004,1,59
gecco,ictai,2014,2009,1,97
gecco,ictai,2015,2004,1,70
gecco,ictai,2015,2013,1,205
