from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
gecco,ijcai,1996,1995,1,2
gecco,ijcai,1999,1983,1,1
gecco,ijcai,1999,1985,1,2
gecco,ijcai,1999,1989,1,2
gecco,ijcai,2000,1983,1,4
gecco,ijcai,2001,1991,1,1
gecco,ijcai,2001,1997,1,12
gecco,ijcai,2002,1987,1,1
gecco,ijcai,2002,1995,1,12
gecco,ijcai,2002,1999,1,36
gecco,ijcai,2003,1985,1,4
gecco,ijcai,2003,1989,1,12
gecco,ijcai,2003,1991,3,31
gecco,ijcai,2003,1993,2,45
gecco,ijcai,2003,1995,2,59
gecco,ijcai,2003,1996,1,65
gecco,ijcai,2003,1997,1,65
gecco,ijcai,2003,1999,1,124
gecco,ijcai,2003,2001,1,132
gecco,ijcai,2004,1991,2,33
gecco,ijcai,2004,1993,3,50
gecco,ijcai,2004,1995,4,46
gecco,ijcai,2004,1999,1,115
gecco,ijcai,2004,2001,1,122
gecco,ijcai,2004,2003,1,176
gecco,ijcai,2005,1989,1,20
gecco,ijcai,2005,1991,3,44
gecco,ijcai,2005,1993,1,52
gecco,ijcai,2005,1995,2,78
gecco,ijcai,2005,1997,2,102
gecco,ijcai,2005,1999,2,193
gecco,ijcai,2005,2001,2,166
gecco,ijcai,2006,1977,1,3
gecco,ijcai,2006,1983,1,4
gecco,ijcai,2006,1985,1,5
gecco,ijcai,2006,1989,2,20
gecco,ijcai,2006,1991,1,22
gecco,ijcai,2006,1995,2,54
gecco,ijcai,2006,1997,1,65
gecco,ijcai,2006,1999,1,125
gecco,ijcai,2006,2001,2,134
gecco,ijcai,2006,2003,1,155
gecco,ijcai,2007,1985,1,6
gecco,ijcai,2007,1989,2,17
gecco,ijcai,2007,1991,4,35
gecco,ijcai,2007,1995,1,48
gecco,ijcai,2007,1999,2,163
gecco,ijcai,2007,2003,2,210
gecco,ijcai,2007,2005,1,305
gecco,ijcai,2008,1977,1,5
gecco,ijcai,2008,1983,1,10
gecco,ijcai,2008,1985,1,2
gecco,ijcai,2008,1989,1,19
gecco,ijcai,2008,1993,1,39
gecco,ijcai,2008,1995,1,60
gecco,ijcai,2008,1999,1,116
gecco,ijcai,2008,2001,2,114
gecco,ijcai,2008,2003,1,142
gecco,ijcai,2008,2007,1,276
gecco,ijcai,2009,1989,3,24
gecco,ijcai,2009,1991,2,31
gecco,ijcai,2009,1995,1,52
gecco,ijcai,2009,1997,1,68
gecco,ijcai,2009,1999,2,129
gecco,ijcai,2009,2001,2,152
gecco,ijcai,2009,2005,1,276
gecco,ijcai,2009,2007,1,316
gecco,ijcai,2010,1995,2,27
gecco,ijcai,2010,1999,1,68
gecco,ijcai,2010,2001,2,79
gecco,ijcai,2010,2003,4,93
gecco,ijcai,2010,2005,1,138
gecco,ijcai,2010,2007,3,167
gecco,ijcai,2011,1989,1,19
gecco,ijcai,2011,1991,2,30
gecco,ijcai,2011,1993,1,24
gecco,ijcai,2011,1995,2,25
gecco,ijcai,2011,1997,1,46
gecco,ijcai,2011,2001,1,99
gecco,ijcai,2011,2007,2,222
gecco,ijcai,2011,2009,1,236
gecco,ijcai,2012,1985,1,7
gecco,ijcai,2012,1989,1,18
gecco,ijcai,2012,1991,2,20
gecco,ijcai,2012,1995,1,26
gecco,ijcai,2012,1999,2,60
gecco,ijcai,2012,2003,1,85
gecco,ijcai,2012,2005,1,124
gecco,ijcai,2012,2007,2,120
gecco,ijcai,2013,1989,1,16
gecco,ijcai,2013,1997,2,32
gecco,ijcai,2013,1999,1,59
gecco,ijcai,2013,2007,2,173
gecco,ijcai,2013,2010,1,213
gecco,ijcai,2013,2011,2,193
gecco,ijcai,2014,1989,1,11
gecco,ijcai,2014,1997,1,16
gecco,ijcai,2014,2009,1,97
gecco,ijcai,2015,1985,1,6
gecco,ijcai,2015,1989,1,10
gecco,ijcai,2015,1995,1,20
gecco,ijcai,2015,1999,1,53
gecco,ijcai,2015,2005,1,90
gecco,ijcai,2015,2007,1,102
gecco,ijcai,2015,2009,1,138
