from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
gecco,nips,1999,1993,1,17
gecco,nips,1999,1996,1,16
gecco,nips,1999,1997,1,15
gecco,nips,2000,1997,1,13
gecco,nips,2003,1993,1,45
gecco,nips,2003,1996,1,65
gecco,nips,2003,1997,1,65
gecco,nips,2003,1998,1,114
gecco,nips,2003,1999,2,124
gecco,nips,2003,2001,1,132
gecco,nips,2004,1996,3,64
gecco,nips,2004,1997,2,76
gecco,nips,2004,1998,1,111
gecco,nips,2004,1999,2,115
gecco,nips,2005,1994,1,82
gecco,nips,2005,1995,4,78
gecco,nips,2005,1996,3,105
gecco,nips,2005,1997,1,102
gecco,nips,2005,1998,1,136
gecco,nips,2005,1999,3,193
gecco,nips,2005,2000,1,172
gecco,nips,2005,2002,1,262
gecco,nips,2005,2003,2,257
gecco,nips,2005,2004,1,273
gecco,nips,2006,1990,1,25
gecco,nips,2006,1993,1,37
gecco,nips,2006,1995,2,54
gecco,nips,2006,1996,1,63
gecco,nips,2006,1997,1,65
gecco,nips,2006,1998,1,97
gecco,nips,2006,1999,1,125
gecco,nips,2006,2000,1,113
gecco,nips,2006,2001,1,134
gecco,nips,2006,2003,1,155
gecco,nips,2007,1993,1,54
gecco,nips,2007,1994,2,81
gecco,nips,2007,1995,1,48
gecco,nips,2007,1996,1,72
gecco,nips,2007,1997,1,86
gecco,nips,2007,1998,1,91
gecco,nips,2007,1999,1,163
gecco,nips,2007,2001,2,174
gecco,nips,2007,2002,1,224
gecco,nips,2007,2003,3,210
gecco,nips,2007,2004,3,284
gecco,nips,2007,2005,1,305
gecco,nips,2007,2006,1,262
gecco,nips,2008,1989,1,19
gecco,nips,2008,1993,1,39
gecco,nips,2008,1994,1,57
gecco,nips,2008,1995,2,60
gecco,nips,2008,1997,1,57
gecco,nips,2008,1998,2,95
gecco,nips,2008,2000,2,125
gecco,nips,2008,2002,1,176
gecco,nips,2008,2003,1,142
gecco,nips,2008,2005,1,223
gecco,nips,2009,1989,1,24
gecco,nips,2009,1994,1,79
gecco,nips,2009,1995,3,52
gecco,nips,2009,1997,3,68
gecco,nips,2009,1998,1,105
gecco,nips,2009,1999,1,129
gecco,nips,2009,2000,2,143
gecco,nips,2009,2001,2,152
gecco,nips,2009,2002,1,200
gecco,nips,2009,2003,2,212
gecco,nips,2009,2004,1,238
gecco,nips,2009,2006,1,285
gecco,nips,2010,1995,1,27
gecco,nips,2010,1996,2,35
gecco,nips,2010,1997,1,42
gecco,nips,2010,1998,2,59
gecco,nips,2010,1999,1,68
gecco,nips,2010,2001,1,79
gecco,nips,2010,2002,1,90
gecco,nips,2010,2003,2,93
gecco,nips,2010,2004,1,107
gecco,nips,2010,2007,1,167
gecco,nips,2011,1990,1,22
gecco,nips,2011,1995,1,25
gecco,nips,2011,1997,1,46
gecco,nips,2011,2002,1,122
gecco,nips,2011,2004,3,134
gecco,nips,2011,2006,1,173
gecco,nips,2011,2007,1,222
gecco,nips,2011,2009,1,236
gecco,nips,2012,1996,1,24
gecco,nips,2012,1997,1,32
gecco,nips,2012,1998,1,44
gecco,nips,2012,1999,1,60
gecco,nips,2012,2004,1,69
gecco,nips,2013,1994,1,42
gecco,nips,2013,1995,1,27
gecco,nips,2013,1998,1,67
gecco,nips,2013,1999,1,59
gecco,nips,2013,2000,1,67
gecco,nips,2013,2006,2,145
gecco,nips,2013,2008,2,173
gecco,nips,2013,2009,1,185
gecco,nips,2014,1994,1,35
gecco,nips,2014,1995,1,19
gecco,nips,2014,1996,1,19
gecco,nips,2014,1997,1,16
gecco,nips,2014,1999,1,28
gecco,nips,2014,2000,1,40
gecco,nips,2014,2001,1,46
gecco,nips,2014,2002,2,56
gecco,nips,2014,2003,2,50
gecco,nips,2014,2005,2,85
gecco,nips,2014,2007,1,94
gecco,nips,2014,2008,1,98
gecco,nips,2014,2009,1,97
gecco,nips,2014,2010,1,112
gecco,nips,2015,1993,1,13
gecco,nips,2015,1995,1,20
gecco,nips,2015,1996,1,18
gecco,nips,2015,1999,1,53
gecco,nips,2015,2009,1,138
gecco,nips,2015,2012,2,178
gecco,nips,2015,2013,1,205
