from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icann,bmvc,1996,1990,1,42
icann,bmvc,2002,1995,1,66
icann,bmvc,2005,1997,1,94
icann,bmvc,2005,2000,1,109
icann,bmvc,2005,2001,1,125
icann,bmvc,2008,1999,1,80
icann,bmvc,2009,2000,1,85
icann,bmvc,2009,2007,1,160
icann,bmvc,2010,2002,1,63
icann,bmvc,2010,2005,1,101
icann,bmvc,2010,2008,1,127
icann,bmvc,2011,1992,1,17
icann,bmvc,2011,2005,1,102
icann,bmvc,2013,2011,1,104
icann,bmvc,2014,2006,1,37
icann,bmvc,2014,2009,1,51
icann,bmvc,2014,2011,1,54
