from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icann,cvpr,1996,1991,1,42
icann,cvpr,1997,1994,1,73
icann,cvpr,2001,1999,1,94
icann,cvpr,2001,2000,1,99
icann,cvpr,2002,1994,1,39
icann,cvpr,2002,1997,1,57
icann,cvpr,2002,1999,1,100
icann,cvpr,2002,2000,2,131
icann,cvpr,2003,1999,1,77
icann,cvpr,2005,1997,1,94
icann,cvpr,2005,2001,1,125
icann,cvpr,2006,1998,1,82
icann,cvpr,2006,1999,1,95
icann,cvpr,2006,2000,1,108
icann,cvpr,2006,2001,1,87
icann,cvpr,2006,2004,2,144
icann,cvpr,2006,2005,1,154
icann,cvpr,2007,1998,1,61
icann,cvpr,2007,1999,1,93
icann,cvpr,2007,2001,2,100
icann,cvpr,2007,2003,1,128
icann,cvpr,2007,2004,2,134
icann,cvpr,2008,1991,1,23
icann,cvpr,2008,1999,2,80
icann,cvpr,2008,2001,3,83
icann,cvpr,2008,2003,1,126
icann,cvpr,2008,2004,3,109
icann,cvpr,2008,2005,1,123
icann,cvpr,2009,1997,2,42
icann,cvpr,2009,2000,1,85
icann,cvpr,2009,2001,1,69
icann,cvpr,2009,2003,1,130
icann,cvpr,2009,2005,3,125
icann,cvpr,2009,2007,2,160
icann,cvpr,2009,2008,3,146
icann,cvpr,2010,1996,1,35
icann,cvpr,2010,1998,1,54
icann,cvpr,2010,1999,1,52
icann,cvpr,2010,2001,1,72
icann,cvpr,2010,2003,2,94
icann,cvpr,2010,2004,1,85
icann,cvpr,2010,2005,3,101
icann,cvpr,2010,2006,6,126
icann,cvpr,2010,2007,4,139
icann,cvpr,2010,2008,3,127
icann,cvpr,2010,2009,4,162
icann,cvpr,2011,1994,1,28
icann,cvpr,2011,2000,1,69
icann,cvpr,2011,2003,1,93
icann,cvpr,2011,2004,2,105
icann,cvpr,2011,2005,2,102
icann,cvpr,2011,2006,3,127
icann,cvpr,2011,2007,1,145
icann,cvpr,2011,2009,4,199
icann,cvpr,2011,2010,1,162
icann,cvpr,2012,1996,1,28
icann,cvpr,2012,2007,1,84
icann,cvpr,2012,2008,3,97
icann,cvpr,2012,2009,1,110
icann,cvpr,2012,2010,1,122
icann,cvpr,2012,2011,1,134
icann,cvpr,2013,2004,2,53
icann,cvpr,2013,2005,2,61
icann,cvpr,2013,2012,1,105
icann,cvpr,2014,2003,1,21
icann,cvpr,2014,2005,1,27
icann,cvpr,2014,2006,2,37
icann,cvpr,2014,2007,1,38
icann,cvpr,2014,2008,2,45
icann,cvpr,2014,2009,1,51
icann,cvpr,2014,2011,2,54
icann,cvpr,2014,2012,3,60
icann,cvpr,2014,2013,4,58
