from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icann,eccv,1996,1994,1,50
icann,eccv,2001,1998,1,83
icann,eccv,2005,1994,1,53
icann,eccv,2005,1996,1,68
icann,eccv,2005,1998,1,73
icann,eccv,2005,2004,1,182
icann,eccv,2006,1996,1,45
icann,eccv,2006,2002,1,111
icann,eccv,2006,2004,1,144
icann,eccv,2007,1992,1,39
icann,eccv,2007,1996,1,56
icann,eccv,2007,2004,1,134
icann,eccv,2009,2004,2,139
icann,eccv,2010,2004,1,85
icann,eccv,2010,2008,2,127
icann,eccv,2011,2004,1,105
icann,eccv,2011,2008,2,155
icann,eccv,2012,2004,2,55
icann,eccv,2012,2006,1,83
icann,eccv,2013,2002,1,41
icann,eccv,2013,2004,1,53
icann,eccv,2014,2008,2,45
