from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icann,gecco,2003,2002,1,87
icann,gecco,2005,1999,1,108
icann,gecco,2005,2002,2,145
icann,gecco,2005,2003,3,158
icann,gecco,2005,2004,1,182
icann,gecco,2006,1999,1,95
icann,gecco,2007,2000,1,81
icann,gecco,2008,2006,1,154
icann,gecco,2008,2007,3,148
icann,gecco,2009,2004,2,139
icann,gecco,2009,2007,2,160
icann,gecco,2009,2008,1,146
icann,gecco,2010,2004,1,85
icann,gecco,2011,2002,1,79
icann,gecco,2011,2003,1,93
icann,gecco,2011,2007,1,145
icann,gecco,2011,2008,1,155
icann,gecco,2011,2009,1,199
icann,gecco,2011,2010,1,162
icann,gecco,2012,2008,1,97
icann,gecco,2012,2010,1,122
icann,gecco,2013,2003,1,48
icann,gecco,2013,2011,1,104
icann,gecco,2013,2012,1,105
