from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icann,iccv,1996,1993,1,39
icann,iccv,2003,1999,1,77
icann,iccv,2005,1998,1,73
icann,iccv,2005,1999,1,108
icann,iccv,2006,1999,1,95
icann,iccv,2006,2005,1,154
icann,iccv,2007,2005,1,161
icann,iccv,2008,1999,2,80
icann,iccv,2008,2001,1,83
icann,iccv,2008,2003,2,126
icann,iccv,2008,2007,1,148
icann,iccv,2009,1998,1,58
icann,iccv,2009,1999,1,65
icann,iccv,2009,2003,4,130
icann,iccv,2009,2005,1,125
icann,iccv,2009,2007,1,160
icann,iccv,2010,1995,1,21
icann,iccv,2010,1998,1,54
icann,iccv,2010,2001,1,72
icann,iccv,2010,2003,1,94
icann,iccv,2010,2005,1,101
icann,iccv,2010,2007,1,139
icann,iccv,2010,2009,4,162
icann,iccv,2011,1998,1,57
icann,iccv,2011,1999,1,58
icann,iccv,2011,2007,1,145
icann,iccv,2011,2009,1,199
icann,iccv,2011,2010,1,162
icann,iccv,2012,1998,1,22
icann,iccv,2012,1999,2,36
icann,iccv,2012,2005,4,54
icann,iccv,2012,2007,1,84
icann,iccv,2013,1995,1,22
icann,iccv,2013,1998,2,33
icann,iccv,2013,2001,2,33
icann,iccv,2013,2003,1,48
icann,iccv,2013,2009,1,84
icann,iccv,2013,2011,1,104
icann,iccv,2014,2007,1,38
icann,iccv,2014,2009,1,51
icann,iccv,2014,2011,1,54
