from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icann,icdar,1997,1995,1,96
icann,icdar,2001,1999,1,94
icann,icdar,2002,1995,1,66
icann,icdar,2002,1997,1,57
icann,icdar,2005,1997,1,94
icann,icdar,2006,2003,1,117
icann,icdar,2007,1999,1,93
icann,icdar,2007,2003,1,128
icann,icdar,2008,2003,1,126
icann,icdar,2008,2007,1,148
icann,icdar,2009,2003,1,130
icann,icdar,2010,2003,1,94
icann,icdar,2011,2003,1,93
icann,icdar,2012,2003,1,59
icann,icdar,2012,2009,2,110
icann,icdar,2013,2003,1,48
icann,icdar,2013,2011,2,104
icann,icdar,2014,2003,2,21
icann,icdar,2014,2011,2,54
