from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icann,icpr,1996,1992,1,42
icann,icpr,1996,1994,1,50
icann,icpr,1997,1992,1,60
icann,icpr,1997,1996,3,116
icann,icpr,2001,1998,2,83
icann,icpr,2001,2000,1,99
icann,icpr,2002,1994,1,39
icann,icpr,2002,2000,1,131
icann,icpr,2003,1996,1,43
icann,icpr,2003,2000,1,84
icann,icpr,2005,1996,2,68
icann,icpr,2005,2002,2,145
icann,icpr,2006,2002,1,111
icann,icpr,2006,2004,4,144
icann,icpr,2006,2005,2,154
icann,icpr,2007,1996,1,56
icann,icpr,2007,1998,2,61
icann,icpr,2007,2002,2,123
icann,icpr,2007,2004,2,134
icann,icpr,2007,2006,2,135
icann,icpr,2008,1992,1,29
icann,icpr,2008,1994,1,34
icann,icpr,2008,1996,1,32
icann,icpr,2008,2000,2,108
icann,icpr,2010,1994,1,25
icann,icpr,2010,2002,1,63
icann,icpr,2011,2000,1,69
icann,icpr,2011,2002,1,79
icann,icpr,2011,2004,2,105
icann,icpr,2011,2010,1,162
icann,icpr,2012,1992,1,17
icann,icpr,2012,1994,1,15
icann,icpr,2012,2002,1,48
icann,icpr,2012,2010,2,122
icann,icpr,2013,1994,1,15
icann,icpr,2013,2004,1,53
icann,icpr,2013,2006,1,71
icann,icpr,2013,2010,3,68
icann,icpr,2014,2000,1,9
icann,icpr,2014,2004,2,33
icann,icpr,2014,2012,1,60
