from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icann,nips,1993,1992,1,6
icann,nips,1995,1990,1,11
icann,nips,1996,1990,6,42
icann,nips,1996,1992,5,42
icann,nips,1996,1994,3,50
icann,nips,1996,1995,5,63
icann,nips,1997,1989,3,32
icann,nips,1997,1990,7,39
icann,nips,1997,1991,2,37
icann,nips,1997,1992,5,60
icann,nips,1997,1993,2,69
icann,nips,1997,1994,6,73
icann,nips,1997,1995,10,96
icann,nips,1997,1996,11,116
icann,nips,1998,1996,2,8
icann,nips,1998,1997,1,9
icann,nips,1999,1992,1,5
icann,nips,1999,1996,3,11
icann,nips,1999,1997,2,8
icann,nips,1999,1998,1,18
icann,nips,2001,1989,1,29
icann,nips,2001,1990,1,21
icann,nips,2001,1991,1,29
icann,nips,2001,1992,3,39
icann,nips,2001,1993,1,33
icann,nips,2001,1994,2,46
icann,nips,2001,1995,9,51
icann,nips,2001,1996,6,58
icann,nips,2001,1997,5,75
icann,nips,2001,1998,2,83
icann,nips,2001,1999,4,94
icann,nips,2001,2000,10,99
icann,nips,2002,1989,1,24
icann,nips,2002,1990,1,24
icann,nips,2002,1991,1,27
icann,nips,2002,1992,3,35
icann,nips,2002,1993,1,37
icann,nips,2002,1994,1,39
icann,nips,2002,1995,5,66
icann,nips,2002,1996,3,46
icann,nips,2002,1998,5,98
icann,nips,2002,1999,4,100
icann,nips,2002,2000,5,131
icann,nips,2002,2001,8,106
icann,nips,2003,1988,1,13
icann,nips,2003,1990,2,23
icann,nips,2003,1992,1,30
icann,nips,2003,1995,2,42
icann,nips,2003,1996,3,43
icann,nips,2003,1998,3,53
icann,nips,2003,1999,2,77
icann,nips,2003,2000,6,84
icann,nips,2003,2001,7,90
icann,nips,2003,2002,3,87
icann,nips,2005,1989,1,23
icann,nips,2005,1990,3,32
icann,nips,2005,1992,1,51
icann,nips,2005,1994,1,53
icann,nips,2005,1995,3,59
icann,nips,2005,1996,3,68
icann,nips,2005,1997,3,94
icann,nips,2005,1998,3,73
icann,nips,2005,1999,2,108
icann,nips,2005,2000,7,109
icann,nips,2005,2001,7,125
icann,nips,2005,2002,5,145
icann,nips,2005,2003,10,158
icann,nips,2005,2004,3,182
icann,nips,2006,1990,3,24
icann,nips,2006,1991,1,34
icann,nips,2006,1992,1,34
icann,nips,2006,1994,2,40
icann,nips,2006,1995,3,42
icann,nips,2006,1996,2,45
icann,nips,2006,1997,3,61
icann,nips,2006,1998,2,82
icann,nips,2006,1999,4,95
icann,nips,2006,2000,5,108
icann,nips,2006,2001,7,87
icann,nips,2006,2002,5,111
icann,nips,2006,2003,2,117
icann,nips,2006,2004,1,144
icann,nips,2006,2005,2,154
icann,nips,2007,1990,2,21
icann,nips,2007,1992,2,39
icann,nips,2007,1993,1,37
icann,nips,2007,1994,1,48
icann,nips,2007,1995,2,37
icann,nips,2007,1996,1,56
icann,nips,2007,1997,2,65
icann,nips,2007,1998,1,61
icann,nips,2007,1999,3,93
icann,nips,2007,2000,4,81
icann,nips,2007,2001,5,100
icann,nips,2007,2002,5,123
icann,nips,2007,2003,5,128
icann,nips,2007,2005,3,161
icann,nips,2007,2006,5,135
icann,nips,2008,1990,3,28
icann,nips,2008,1993,1,28
icann,nips,2008,1994,1,34
icann,nips,2008,1995,3,39
icann,nips,2008,1996,2,32
icann,nips,2008,1998,2,65
icann,nips,2008,1999,2,80
icann,nips,2008,2000,5,108
icann,nips,2008,2001,6,83
icann,nips,2008,2002,5,92
icann,nips,2008,2003,6,126
icann,nips,2008,2004,1,109
icann,nips,2008,2005,3,123
icann,nips,2008,2006,3,154
icann,nips,2008,2007,1,148
icann,nips,2009,1992,1,35
icann,nips,2009,1993,1,33
icann,nips,2009,1995,2,30
icann,nips,2009,1996,1,39
icann,nips,2009,1998,2,58
icann,nips,2009,1999,4,65
icann,nips,2009,2000,2,85
icann,nips,2009,2001,2,69
icann,nips,2009,2002,2,89
icann,nips,2009,2003,5,130
icann,nips,2009,2004,5,139
icann,nips,2009,2005,1,125
icann,nips,2009,2006,3,135
icann,nips,2009,2007,5,160
icann,nips,2009,2008,2,146
icann,nips,2010,1989,1,17
icann,nips,2010,1992,1,19
icann,nips,2010,1994,1,25
icann,nips,2010,1995,2,21
icann,nips,2010,1996,1,35
icann,nips,2010,1997,2,32
icann,nips,2010,1998,2,54
icann,nips,2010,1999,2,52
icann,nips,2010,2000,2,52
icann,nips,2010,2001,3,72
icann,nips,2010,2003,4,94
icann,nips,2010,2004,1,85
icann,nips,2010,2005,3,101
icann,nips,2010,2006,4,126
icann,nips,2010,2007,3,139
icann,nips,2010,2009,1,162
icann,nips,2011,1990,2,13
icann,nips,2011,1992,2,17
icann,nips,2011,1994,1,28
icann,nips,2011,1995,1,28
icann,nips,2011,1996,1,33
icann,nips,2011,1998,2,57
icann,nips,2011,1999,4,58
icann,nips,2011,2000,2,69
icann,nips,2011,2001,4,65
icann,nips,2011,2002,4,79
icann,nips,2011,2003,4,93
icann,nips,2011,2004,1,105
icann,nips,2011,2005,4,102
icann,nips,2011,2006,3,127
icann,nips,2011,2007,1,145
icann,nips,2011,2008,5,155
icann,nips,2011,2009,2,199
icann,nips,2011,2010,4,162
icann,nips,2012,1990,2,17
icann,nips,2012,1994,1,15
icann,nips,2012,1995,1,24
icann,nips,2012,1996,2,28
icann,nips,2012,1997,1,26
icann,nips,2012,1999,3,36
icann,nips,2012,2001,1,31
icann,nips,2012,2003,5,59
icann,nips,2012,2004,2,55
icann,nips,2012,2005,1,54
icann,nips,2012,2006,2,83
icann,nips,2012,2008,3,97
icann,nips,2012,2009,5,110
icann,nips,2012,2010,4,122
icann,nips,2012,2011,4,134
icann,nips,2013,1988,1,14
icann,nips,2013,1989,1,11
icann,nips,2013,1994,1,15
icann,nips,2013,1995,2,22
icann,nips,2013,1996,2,23
icann,nips,2013,1997,2,23
icann,nips,2013,1998,1,33
icann,nips,2013,1999,1,34
icann,nips,2013,2000,1,30
icann,nips,2013,2001,1,33
icann,nips,2013,2002,2,41
icann,nips,2013,2003,3,48
icann,nips,2013,2004,1,53
icann,nips,2013,2006,3,71
icann,nips,2013,2007,1,76
icann,nips,2013,2008,2,83
icann,nips,2013,2010,2,68
icann,nips,2013,2011,1,104
icann,nips,2013,2012,6,105
icann,nips,2014,1995,1,9
icann,nips,2014,1996,1,11
icann,nips,2014,1997,1,11
icann,nips,2014,1999,1,20
icann,nips,2014,2001,1,14
icann,nips,2014,2002,1,22
