from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icann,uai,1999,1994,1,11
icann,uai,2001,1999,1,94
icann,uai,2001,2000,2,99
icann,uai,2002,1994,1,39
icann,uai,2002,1999,2,100
icann,uai,2002,2000,2,131
icann,uai,2003,1998,1,53
icann,uai,2003,1999,1,77
icann,uai,2003,2001,1,90
icann,uai,2003,2002,1,87
icann,uai,2005,1998,2,73
icann,uai,2005,2002,1,145
icann,uai,2006,1999,1,95
icann,uai,2006,2002,1,111
icann,uai,2007,1994,2,48
icann,uai,2007,1999,1,93
icann,uai,2007,2000,2,81
icann,uai,2007,2001,2,100
icann,uai,2007,2004,1,134
icann,uai,2008,1999,1,80
icann,uai,2009,1998,1,58
icann,uai,2010,1994,1,25
icann,uai,2010,1998,1,54
icann,uai,2011,1995,1,28
icann,uai,2011,2002,2,79
icann,uai,2011,2004,1,105
icann,uai,2012,2011,1,134
icann,uai,2013,2012,1,105
icann,uai,2014,2005,1,27
