from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icaps,ecai,2003,2002,1,1
icaps,ecai,2005,2000,1,2
icaps,ecai,2005,2004,1,3
icaps,ecai,2006,1992,1,1
icaps,ecai,2006,2004,1,3
icaps,ecai,2009,1998,1,5
icaps,ecai,2009,2004,1,7
icaps,ecai,2010,1998,1,5
icaps,ecai,2010,2000,1,14
icaps,ecai,2010,2008,2,27
icaps,ecai,2011,1992,1,3
icaps,ecai,2011,2004,2,6
icaps,ecai,2011,2008,1,6
icaps,ecai,2011,2010,1,19
icaps,ecai,2012,1998,1,3
icaps,ecai,2012,2010,2,12
icaps,ecai,2013,2008,1,17
icaps,ecai,2013,2010,1,19
icaps,ecai,2014,1976,1,1
icaps,ecai,2014,1998,1,5
icaps,ecai,2014,2010,2,18
