from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icaps,icaps,2005,2003,1,4
icaps,icaps,2006,2004,1,3
icaps,icaps,2007,2004,1,3
icaps,icaps,2007,2006,1,3
icaps,icaps,2008,2007,1,7
icaps,icaps,2009,2004,1,7
icaps,icaps,2009,2007,3,32
icaps,icaps,2009,2008,1,21
icaps,icaps,2010,2007,2,27
icaps,icaps,2010,2009,10,38
icaps,icaps,2011,2007,3,13
icaps,icaps,2011,2009,2,8
icaps,icaps,2011,2010,4,19
icaps,icaps,2012,2007,3,11
icaps,icaps,2012,2008,1,6
icaps,icaps,2012,2009,3,15
icaps,icaps,2012,2010,2,12
icaps,icaps,2012,2011,3,17
icaps,icaps,2013,2010,2,19
icaps,icaps,2013,2012,6,16
icaps,icaps,2014,2009,1,18
icaps,icaps,2014,2010,4,18
icaps,icaps,2014,2011,1,19
icaps,icaps,2014,2012,6,20
icaps,icaps,2014,2013,6,14
