from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icaps,icra,2008,1986,1,1
icaps,icra,2008,1996,1,3
icaps,icra,2008,2007,1,7
icaps,icra,2009,1994,1,4
icaps,icra,2009,2001,1,13
icaps,icra,2009,2005,1,14
icaps,icra,2009,2006,2,16
icaps,icra,2009,2007,2,32
icaps,icra,2009,2008,1,21
icaps,icra,2010,1993,1,4
icaps,icra,2010,2000,1,14
icaps,icra,2010,2005,1,21
icaps,icra,2010,2006,1,19
icaps,icra,2010,2007,1,27
icaps,icra,2010,2008,1,27
icaps,icra,2011,2003,1,4
icaps,icra,2012,1993,1,1
icaps,icra,2012,2009,1,15
icaps,icra,2012,2011,4,17
icaps,icra,2014,1993,1,3
icaps,icra,2014,2004,1,9
icaps,icra,2014,2010,2,18
icaps,icra,2014,2011,2,19
