from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icaps,ijcai,2003,1985,1,1
icaps,ijcai,2003,1989,1,1
icaps,ijcai,2003,1997,2,3
icaps,ijcai,2003,2001,3,4
icaps,ijcai,2004,1999,1,2
icaps,ijcai,2004,2001,1,4
icaps,ijcai,2005,1989,1,1
icaps,ijcai,2005,1997,1,3
icaps,ijcai,2005,1999,1,4
icaps,ijcai,2005,2001,1,1
icaps,ijcai,2005,2003,1,4
icaps,ijcai,2006,1999,1,2
icaps,ijcai,2006,2001,1,1
icaps,ijcai,2007,1975,1,1
icaps,ijcai,2007,1977,1,1
icaps,ijcai,2007,1999,1,2
icaps,ijcai,2008,1999,1,1
icaps,ijcai,2008,2001,1,1
icaps,ijcai,2008,2003,1,4
icaps,ijcai,2008,2007,1,7
icaps,ijcai,2009,1993,1,1
icaps,ijcai,2009,1999,3,8
icaps,ijcai,2009,2001,2,13
icaps,ijcai,2009,2003,3,14
icaps,ijcai,2009,2005,4,14
icaps,ijcai,2009,2007,6,32
icaps,ijcai,2010,1973,2,2
icaps,ijcai,2010,1985,1,1
icaps,ijcai,2010,1993,1,4
icaps,ijcai,2010,1995,2,4
icaps,ijcai,2010,1999,3,10
icaps,ijcai,2010,2001,2,12
icaps,ijcai,2010,2003,4,15
icaps,ijcai,2010,2005,2,21
icaps,ijcai,2010,2007,7,27
icaps,ijcai,2010,2009,7,38
icaps,ijcai,2011,1973,1,2
icaps,ijcai,2011,2001,1,2
icaps,ijcai,2011,2005,1,7
icaps,ijcai,2011,2007,5,13
icaps,ijcai,2011,2009,2,8
icaps,ijcai,2012,1991,2,3
icaps,ijcai,2012,1995,1,4
icaps,ijcai,2012,1997,2,4
icaps,ijcai,2012,1999,1,2
icaps,ijcai,2012,2007,2,11
icaps,ijcai,2012,2009,3,15
icaps,ijcai,2012,2011,4,17
icaps,ijcai,2013,1991,2,4
icaps,ijcai,2013,1995,1,6
icaps,ijcai,2013,1997,1,4
icaps,ijcai,2013,1999,2,6
icaps,ijcai,2013,2001,1,4
icaps,ijcai,2013,2003,2,6
icaps,ijcai,2013,2005,1,8
icaps,ijcai,2013,2007,1,7
icaps,ijcai,2013,2009,3,16
icaps,ijcai,2013,2011,2,16
icaps,ijcai,2014,1971,1,1
icaps,ijcai,2014,1987,1,3
icaps,ijcai,2014,1991,1,4
icaps,ijcai,2014,2001,1,3
icaps,ijcai,2014,2003,1,10
icaps,ijcai,2014,2005,2,7
icaps,ijcai,2014,2007,1,11
icaps,ijcai,2014,2009,5,18
icaps,ijcai,2014,2011,4,19
icaps,ijcai,2014,2013,3,14
