from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icb,cvpr,2006,1991,1,13
icb,cvpr,2006,1992,1,7
icb,cvpr,2006,1996,1,12
icb,cvpr,2006,1997,1,25
icb,cvpr,2006,2000,2,31
icb,cvpr,2006,2001,3,39
icb,cvpr,2006,2003,2,43
icb,cvpr,2006,2004,6,68
icb,cvpr,2006,2005,1,31
icb,cvpr,2007,1994,2,15
icb,cvpr,2007,1997,1,26
icb,cvpr,2007,1998,3,28
icb,cvpr,2007,2000,1,34
icb,cvpr,2007,2001,4,39
icb,cvpr,2007,2003,5,68
icb,cvpr,2007,2004,13,94
icb,cvpr,2007,2005,11,93
icb,cvpr,2007,2006,10,111
icb,cvpr,2008,2006,1,2
icb,cvpr,2009,1991,1,11
icb,cvpr,2009,1994,2,18
icb,cvpr,2009,1997,1,18
icb,cvpr,2009,1998,2,27
icb,cvpr,2009,1999,2,27
icb,cvpr,2009,2001,5,37
icb,cvpr,2009,2003,5,65
icb,cvpr,2009,2004,10,99
icb,cvpr,2009,2005,17,115
icb,cvpr,2009,2006,13,149
icb,cvpr,2009,2007,14,171
icb,cvpr,2009,2008,16,112
icb,cvpr,2010,2009,1,2
icb,cvpr,2012,1991,1,3
icb,cvpr,2012,2000,1,6
icb,cvpr,2012,2001,2,14
icb,cvpr,2012,2003,1,20
icb,cvpr,2012,2004,1,23
icb,cvpr,2012,2005,4,24
icb,cvpr,2012,2006,6,32
icb,cvpr,2012,2007,4,51
icb,cvpr,2012,2008,5,35
icb,cvpr,2012,2009,8,60
icb,cvpr,2012,2010,4,63
icb,cvpr,2012,2011,6,30
icb,cvpr,2013,1996,1,8
icb,cvpr,2013,2001,1,7
icb,cvpr,2013,2003,1,18
icb,cvpr,2013,2005,7,29
icb,cvpr,2013,2006,3,38
icb,cvpr,2013,2007,10,55
icb,cvpr,2013,2008,7,46
icb,cvpr,2013,2009,5,47
icb,cvpr,2013,2010,7,75
icb,cvpr,2013,2011,8,56
icb,cvpr,2013,2012,8,100
icb,cvpr,2014,2001,1,3
icb,cvpr,2014,2006,1,2
icb,cvpr,2015,1991,1,3
icb,cvpr,2015,1993,1,4
icb,cvpr,2015,1999,1,8
icb,cvpr,2015,2001,1,13
icb,cvpr,2015,2003,3,21
icb,cvpr,2015,2004,2,29
icb,cvpr,2015,2005,5,42
icb,cvpr,2015,2006,4,45
icb,cvpr,2015,2007,2,48
icb,cvpr,2015,2008,4,54
icb,cvpr,2015,2009,4,68
icb,cvpr,2015,2010,12,70
icb,cvpr,2015,2011,8,61
icb,cvpr,2015,2012,5,87
icb,cvpr,2015,2013,8,86
icb,cvpr,2015,2014,8,73
